char,pron
牛仔,ngäu4 zäi2
牛角,ngäu4 gok2
蹄,tai4
蹺,kiu1
羊,yöng4
羊牯,yöng4 gu2
羊乸,yöng4 na2
羊仔,yöng4 zäi2
豬,zü1
豬公,zü1 gung1
豬婆,zu3 po4
閹豬,yim1 zü1
豬仔,zü1 zäi2
生仔,sæng1 zäi2
配種,pui1 zung2
打種,da2 zung2
狗,gäu2
狗公,gäu2 gung1
狗乸,gäu2 na2
吠,fäi6
貓,miu4
貓公,miu2 gung1
貓乸,miu2 na2
叫春,giu1 cäng1
喊春,ham1 cäng1
雞公,gäi3 gung3
雞乸,gäi1 na2
騸雞,sing1 gäi1
賴伏雞,lai6 bu6 gäi1
雞春,gäi1 cäng1
雞胗,gäi1 käng2
生春,sæng1 cäng1
伏,bu6
扒,pa4
搲,wa2
啼,täi4
啄,dök2
噹,döng2
鵝,ngo4
鴨,ap2
老虎,läu1 fu2
獅子,si1 zi2
豹,pau1
狼,long4
狐狸,fu4 li2
馬騮,ma1 läu4
鹿,luk6
兔仔,tu1 zäi2
老鼠,läu1 sü2
雀仔,zök2 zäi2
麻雀,ma4 zök2
鴉鵲,a1 zök2
雁,ngæng6
牙鷹,nga4 yäng1
枕虼,zäm2 ngäk6
燕子,ying1 zi2
蝠鼠,fuk2 sü2
盲老鼠,mæng4 läu1 sü2
白鴿,bæk6 gäp2
鷯哥,liu2 go2
春,cäng1
竇,däu1
翼,yäk6
尾,mi2
擺,bai2
爪,zau2
蠄蟧,käm4 lo2
蟻,ngäi1
鵝蚿,ngo4 hüng2
蛇蚿,se4 hüng2
禾蚿,wo4 hüng2
百足,bæk2 zok2
硬殼蟲,ngæng6 hok2 cung4
簷蛇,yim4 se2
鳥蠅,fu1 yäng4
金鳥蠅,gäm1 fu1 yäng4
摟,läu1
蚊,män2
囓仔,ngæk2 zai2
咬,ngau1
木虱,muk6 sät2
跳蚤,tiu1 zäu2
虱乸,sät2 na2
甴曱,gak6 zak2
囊蜊,nong4 li2
囊靚,nong4 nim2
蝴蝶,fu4 dip2
斬柴郎,zam2 cai4 long2
螢火蟲,yäng4 fo2 cung4
蜜仔,mät6 zäi2
鵝蜂,ngo4 hung1
顎,ngok2
蛐蛐,go4 go2
烏氹仔,wu2 däm2 zäi2
蛤乸,gäp2 na2
蛤蟆,käm4 kü4
蠶蟲,cam4 cung2
昂龜,ngong1 gwäi1
水魚,söi2 yü4
蝦公,ha1 gung1
泥劣仔,näi4 lük2 zäi2
蛇,se4
牛蜞,ngäu4 ki4
沙伯,sa1 bæk2
包仔螺,bau1 zäi2 lö2
鼻涕蟲,bi6 täi1 cung4
蟹,hai1
田螺,ting4 lö2
黃鱔,wong4 sing1
鯉魚,li1 yü4
鯽魚,zäk2 yü4
鱗,läng4
春,cän1
屋企,uk2 ki2
屋,uk2
起屋,hi2 uk2
打地腳,da2 di6 gök2
起籬牆,hi2 nläi4 cöng4
磚,züng2
斷磚,tüng1 züng1
生磚,sæng1 züng1
瓦,nga1
爛瓦,læng6 nga1
瓦片,nga1 ping2
樑,löng4
上樑,söng1 löng4
桁,hæng2
簷,yim4
柱,cü1
柱躉,cü1 däng2
房間,fong4 gæng1
天間,ting1 gæng1
花廳,fa1 teng2
天井,ting1 zeng2
籬壆,li4 bok2
牆,cöng4
搭,dap2
窗門,cöng1 mung2
門,mung4
側門,zäk2 mung2
門檻,mung4 cam1
門扣,mung4 käu1
天棚,ting1 pæng2
欄河,læng4 ho2
石級,sek6 käp2
樓梯,läu4 täi1
井,zeng2
下間,ha6 gæng1
煙通,ying1 tung1
打灶,da2 zäu1
屎坑,si2 hæng1
角落頭,gok2 lok2 täu2
窿,lung2
罅,la1
雞欄,gäi1 læng2
雞籠,gäi1 lung4
牛欄,ngäu4 læng4
傢生,ga1 sæng1
傢俬,ga1 si1
檯,töi2
凳,däng1
椅,yi2
凳仔,däng1 zäi2
長凳,cöng4 däng1
板凳,bæng2 däng1
書檯,sü1 töi2
櫃,gwäi6
沙櫃,sa6 gwäi6
廚櫃,cü4 gwäi6
櫃桶,gwäi6 tung2
箱,söng1
槓,lung1
床,cong4
竹席,zuk2 zek6
草席,cäu2 zek6
被,pi1
床褥,cong4 yuk2
褥仔,yuk6 zäi2
氈,zing2
枕頭,zäm2 täu4
毛冷,mäu4 lang2
蚊帳,mäng2 zöng1
窗簾,cöng1 lim2
面盆,ming6 pung2
手巾,säu2 gäng1
番鹼,fæng1 gæng2
鏡,geng1
梳,so1
篦,bi1
牙刷,nga4 cak2
牙膏,nga4 gäu1
葫蘆殼,pu4 lu4 hok2
大甕,dai6 ung1
水甕,söi2 ung1
埕,cäng4
缽頭,but2 täu4
罐,gwung1
樽,zäng1
塞,säk2
茶碗,ca4 wung2
茶杯,ca4 bui1
碗,wung2
熱水壺,ngik6 söi2 fu4
茶壺,ca4 fu4
熱水壺,yit6 söi2 fu2
調羹,tiu4 gæng1
飯殼,fæng6 hok2
筷子,fai1 zi2
箸,zü6
柴,cai4
煤,mui4
炭,tæng1
火屎,fo2 si2
火爐,fo2 lu4
起火,hi2 fo2
鑊仔,wok6 zäi2
鑊蓋,wok6 gui1
鑊鏟,wok6 cæng2
鑊癆,wok6 läu2
鑊辣,wok6 lak2
砧板,zäm1 bæng2
蒸籠,zäng1 lung4
飯罉,fæng6 cæng2
筲箕,sau1 gi1
撈箕,lau4 gi1
竹掃,zuk2 säu2
抹檯布,mak3 töi4 bu1
火柴,fo2 zäi2
煙筒,ying1 tung4
煙筒,ying1 tung2
大碌竹,dai6 luk2 cuk2
電筒,ding6 tung4
電燈,ding6 däng2
蠟燭,lap6 zuk2
電油,ding6 yäu4
火水,fo2 söi2
屎桶,si2 tung2
尿桶,niu6 tung4
夜壺,niu6 fu4
屎殼,si2 hok2
痰罐,tam4 gwung1
吊桶,diu2 tung2
水桶,söi2 dung2
鎖匙,so2 si4
鎖,so2
蓑衣,so1 yi1
斗笠,däu2 läp2
扇,sing1
掃把,säu1 ba2
大掃,dai6 säu2
糞箕,fäng1 gi1
窩欄,wo1 læng4
竹篙,zuk2 gäu1
叉,ca2
丫叉,a1 ca1
拐杖,gwai2 zöng2
魚籠,yü4 lung4
釣竿,diu1 gwung1
傢生,ga1 cang1
錘仔,cöi4 zäi2
錐,yöi2
斧頭,fu2 täu4
鉗,kim2
鉗仔,kim4 zäi2
夾,gap6
鋸,gü1
銼,co1
鉆,züng1
刨,pau4
鉤,ngäu2
釘,deng1
鉸剪,gau1 zing2
針,zam1
頂指,däng2 zi2
線,sing1
衣車,yi1 ce2
托,tuk2
邊,bing1
裂,lik2
痕,häng2
爆裂,bau1 lik6
衣裳,yi1 söng4
買布,mai1 bu1
黑布,häk2 bu1
剪布,zing2 bu1
試身,si1 säng1
衫,sam2
恤衫,sük2 sam1
底衫,däi2 sam1
棉衲,ming4 nap6
大褸,dai6 läu3
冷衫,læng2 sam1
被袋,pi1 döi2
背褡,bi1 dap2
褲,fu1
短褲,düng2 fu1
牛頭褲,ngäu4 täu4 fu1
褲腳,fu1 gök2
褲襠,fu1 nong6
開襠褲,fui1 nong6 fu1
裙,kwäng4
袖,zäu6
領,leng1
皺,cau4
爛,læng6
衫袋,sam1 döi2
啪紐,bæk2 näu2
扣,käu1
扣針,käu1 zäm1
帽仔,mäu6 zäi2
草帽,cäu2 mäu6
鞋,hai4
拖鞋,to1 hai4
水鞋,söi2 hai4
鞋墊,hai4 ding1
長筒鞋,cöng4 tung2 hai4
襪,mæk6
手襪,säu1 mæk6
手巾仔,säu2 gäng6 zäi2
咧,lik2
結,gik2
頸巾,geng2 gäng1
口水肩,häu2 söi2 ging1
圍裙,wäi4 kwäng2
兜肚,däu2 tu1
尿布,niu6 bu1
燙斗,tong1 däu2
肚餓,du2 ngo6
飯,fæng6
麵粉,ming6 fäng2
麵,ming6
糠,hong1
冷飯,læng1 fæng6
臭餿,cäu1 säu2
剩,säng6
米水,mäi1 söi2
粥飲,zuk2 yäm2
粥,zuk2
飯焦,fæng6 ziu1
喫飯,hek2 fæng6
頸渴,geng2 fuk2
飲水,yäm2 söi2
飲酒,yäm2 zäu2
米酒,mäi1 zäu2
白酒,bæk6 zäu2
黃酒,wong4 zäu2
糯米酒,no6 mäi1 zäu2
酒糟,zäu2 zäu1
夷茶,yi4 ca4
煙仔,ying1 zäi2
喫煙,hek2 ying1
煙灰,ying1 fui1
早飯,zäu2 fæng6
喫早飯,hek2 zäu2 fæng6
晏晝,æng1 zäu2
喫晏晝,hek2 æng1 zäu2
晚飯,mæng6 fæng6
舀飯,yiu1 fæng6
豬肉,zü1 yuk6
瘦肉,säu1 yuk6
臘肉,lap6 yuk6
肉,yuk6
齋,zäi1
湯,tong2
豬手,zü1 säu2
豬腳,zü1 gök2
豬肝,zü1 gwung1
豬脷,zü1 li2
扶入,fu4 yäp6
雞下水,gäi6 ha6 söi2
鉗餸,kim4 sung3
撈飯,läu6 fæng6
減,gam2
燶,nung1
豆腐乾,däu6 fu6 gwung1
豆腐,däu6 fu6
豆腐花,däu6 fu6 fa1
豆腐霉,däu2 fu2 mui4
萊絲,löi4 si1
粉仔,fän2 zäi2
飽,bau2
打思噫,da2 si2 yik2
包,bau2
水餃,söi2 gau2
雲吞,wäng4 täng1
餡,ham2
湯圓,tong6 yüng2
糯米餈,no6 mäi1 ci4
粽,zung2
口立濕,häu2 läp6 säp2
瘦食,säu1 säp2
茶果,ca4 gwo2
宵夜,siu1 ya6
配料,pui1 liu2
醋,cu1
鹽,yim4
海沙,fui2 sa2
豬油,zü1 yäu4
麻油,ma4 yäu4
黃糖,wong4 tong4
砂糖,sa6 tong4
白糖,bæk6 tong4
麻糖,ma4 tong2
豉油,si6 yäu4
蜜糖,mäk6 tong4
大隻,dai6 zek2
頭殼,äu4 hok2
光頭,gwong1 täu4
頭毛,täu4 mäu4
辮,bing1
髻,gäi1
頭皮,täu4 pi4
面,ming6
酒凹,zäu2 näp2
額,ngæk6
魂精,wäng4 zeng2
腦囟,näu1 säng2
眼,ngæng1
眼光仔,ngæng1 gwong6 zäi2
眼淚,ngæng1 löi6
眼泣毛,ngæng6 yäp2 mäu4
眼眉毛,ngæng6 mi4 mäu4
鼻公,bi6 gung1
鼻哥窿,bi6 go2 lung2
鼻膿,bi6 nung4
擤鼻膿,säng1 bi6 nung4
鼻屎,bi6 si2
耳仔,ngi1 zäi2
耳梗,ngyi1 gäk2
耳屎,ngi1 si2
嘴,zöi2
嘴唇,zöi2 säng4
脷,li6
牙,nga4
大牙,dai6 nga4
齙牙,bau1 nga4
牙肉,nga4 yuk6
牙屎,nga4 si2
鬚,su1
下巴,ha6 pa4
口水,häu2 söi2
喉嚨,häu4 lung4
頸,geng2
膞頭,bok2 täu4
心口,säm3 häu2
心口窟,säm1 häu2 fäk2
背樑,bi6 löng1
背脊,bi1 zek2
屏骨,peng2 gwäk2
打大赤勒,da2 dai6 cek2 lak2
手臂,säu2 bi1
手踭,säu2 zæng2
手凹,säu2 näp2
手,säu2
左手,zo2 säu2
右手,yäu2 säu2
手掌,säu2 zöng2
拳頭,küng4 täu4
手指,säu2 zi2
手指公,säu2 zi2 gung1
手指尾,säu2 zi2 mi1
指甲,zi2 gap2
腡,lö2
起枕,hi2 zäm2
隔肋底,gak2 lak2 däi2
媽仔,ma2 zäi2
奶頭,nai2 täu4
奶,nai1
乳,yöi1
肚,du2
肚臍,du2 ci4
屎窟窿,si2 fäk2 lung2
褲襠,fu6 nong6
褲襠底,fu6 long6 däi2
卡窿下,ka6 la6 ha2
卵,läng2
春袋,cäng1 döi6
鵝仔,ngo4 zäi2
屄,bik2
谿,häi1
屌,diu2
腳,gök2
大髀,dai6 bi2
腳肚仔,gök2 du2 zäi2
膝頭哥,sät2 täu4 go2
腳腩肚,gök2 nam6 du2
腳眼,gök2 ngæng1
腳踭,gök2 zæng2
腳趾,gök2 zi2
腳板底,gök2 bæng6 däi2
腳掌心,gök2 zöng2 säm1
腳印,gök2 yäng2
佬,läu2
婦娘,fu1 löng4
後生,häu6 sæng2
妹仔,mui6 zäi2
後生仔,häu6 sæng1 zäi2
細民仔,säi6 mæng1 zäi2
耕田佬,gæng1 ting4 läu2
寡佬,gwa2 läu2
老姑婆,läu2 gu1 po4
寡婦婆,gwa2 fu1 po2
冇爺冇奶,mäu1 ya4 mäu1 näi1
單眼佬,dæng1 ngæng1 läu2
蒙豬眼,mung2 zü6 ngæng2
突眼,däk6 ngæng2
鬥雞眼,däu6 gäi1 ngæng1
盲眼佬,mæng4 ngæng1 läu2
聾佬,lung4 läu2
啞缽,a2 buk2
漏口,läu1 häu2
甩牙,läk2 nga4
乜頸,me2 geng2
抳頸,näi2 geng2
左手仔,zo2 säu2 zäi2
鴨乸蹄,ap2 na2 täi4
肥佬,fi4 läu2
高佬,gäu1 läu2
爆牙,bau1 nga4
痘皮,däu6 pi4
瘌痢頭,læk2 li6 täu4
六指,luk2 zi2
駝背,to1 bui1
哭包,huk2 bau2
哭袋,huk2 döi2
癲佬,ding1 läu2
跛腳佬,bäi1 gök2 läu2
傻佬,so4 läu2
拐子佬,gwai2 zi2 läu2
賊仔,cæk6 zäi2
賊佬,zæk6 läu2
乞兒,häk2 yi4
契家佬,käi3 ga1 läu2
契家婆,käi1 ga1 po4
勾佬,ngäu2 läu2
老舉,läu1 gü2
在行,zöi6 hong4
外行,wui6 hong2
伙頭,fo2 täu2
鬥木佬,däu1 muk6 läu2
打鐵佬,da2 tik2 läu2
先生,sing1 sæng1
剃頭佬,täi1 täu4 läu2
泥水佬,näi4 söi2 läu2
生意佬,sæng6 yi6 läu2
生保人,sæng1 bäu2 yäng4
人客,yäng4 hæk2
大火氣,dai6 fo2 hi1
臭,cäu1
大方,dai6 fong2
能解,läng4 hai1
勤力,gäng4 läk6
懶性,læng1 säng1
懶,læng1
慳,hæng1
慳儉,hæng1 gim6
叻仔,lek2 zäi2
聰明,cung1 mäng4
精,zeng1
爽,song2
爽快,song2 fai1
蠢,cän2
笨實,beng6 säk6
毒,duk6
牛精,ngäu4 zäng2
牛王,ngäu4 wong4
奸,gæng1
陰毒,yäm1 duk6
整蠱,zäng2 gu2
好心,häu2 säm1
老實,läu1 sät6
唔出聲,m4 cäk2 seng1
怕醜,pa1 cäu2
陰公,yäm1 gung1
後生,häu6 sæng1
灑,sa2
肉酸,yuk6 süng1
唔好睇,m4 häu2 täi2
企理,ki1 li1
垠屎,ngäng2 si2
邋遢,læk6 täk2
乖,gwai1
百厭,bæk2 yim1
硬頸,ngæng6 geng2
牛頸,ngäu4 geng2
細,säi1
偷懶,täu2 læng1
糜摸,mi2 mo2
古惑,gu2 wæk6
賴死,lai6 si2
下流,ha6 läu4
賤格,zing6 gäk2
唔愛面,m4 wui1 ming2
講大話,gong2 dai6 wa6
詐傻,za1 so4
扮懵,bang6 mung2
爛叻,læng2 læk2
叔仔,suk2 zäi2
嬸仔,säm2 zäi2
姑丈,gu1 zöng2
大姑,dai6 gu1
姑仔,gu1 zäi2
姨丈,yi4 zöng2
大姨,dai6 yi2
阿姨,a1 yi2
大舅,dai6 käu1
大妗,dai6 käm1
妗仔,käm1 zäi2
大佬,dai6 läu2
大姊,dai6 zi2
姐夫,ze2 fu1
姊夫,zi2 fu1
細佬,säi1 läu2
阿妹,a1 mui6
妹夫,mui6 fu1
阿弟,a1 täi1
大伯,dai6 bæk6
大姨,dai6 yi4
姨仔,yi2 zäi2
舅仔,käu1 zäi2
老襟,läu1 käm2
妯娌,cuk2 li2
老公,läu1 gung1
老婆,lau1 po4
外父,wui6 fu2
岳父,ngok6 fu2
著人公,zü1 yäng4 gung1
外母,wui6 mu2
岳母,ngok6 mu2
著人婆,zü1 yäng4 po4
家公,ga1 gung1
大人公,dai6 yäng4 gung1
親家,cän1 ga1
後繼婆,häu6 gwäi1 po4
契娘,käi1 nöng4
契媽,käi1 ma2
細民仔,säi1 mäng1 zäi2
仔,zäi2
孻仔,lai1 zäi2
新婦,sän1 fu1
女,nü2
孻女,lai1 nü2
女婿,nü1 säi1
孫,süng1
女孫,nü1 süng1
孫女,süng1 nü1
息,säk2
外孫,wui6 süng1
外孫女,wui6 süng1 nü1
外甥,wui6 sæng1
外甥女,wui6 sæng1 nü2
侄,zäk6
侄女,zäk6 nü1
兩仔爺,löng1 zäi2 ya4
兩公婆,löng1 gung1 po4
兄弟,häng1 däi6
姊妹,zi2 mui6
兩兄弟,löng1 häng6 däi6
兩姊妹,löng1 zi2 mui6
兩兄妹,löng1 häng6 mui6
兩姐弟,löng1 zi2 däi6
叔伯兄弟,suk2 bæk2 häng1 däi6
表姊妹,biu2 zi2 mui6
親戚,cäng6 cäk2
輩份,bui6 fäng6
乳名,yöi1 meng2
花名,fa1 meng2
做媒人,zu6 mui4 yäng2
媒人,mui4 yäng4
媒人婆,mui4 yäng4 po4
過定,gwo1 deng6
娶老婆,cü2 läu1 po4
娶老婆,cu1 läu1 po4
娶新婦,cü2 säng6 fu1
入贅,yäp6 zöi6
新郎哥,säng6 long4 go2
新娘,säng1 nöng2
擺酒,bäi2 zäu2
去飲,hü1 yäm2
外家,wui6 ga1
番頭嫁,faeng1 täu4 ga3
續弦,zuk6 yüng4
大肚,dai6 du2
漚仔,äu1 zäi2
作動,zuk2 dung6
胎盤,töi1 pung4
