Index,Word,Glossary,EnglishGlossary,Type,Character,IPA,Rom,1st check,Remark,
48_Waitau_1,48,(天氣)涼快,Cool and nice(weather),Waitau_1,涼爽,lœŋ11sɤŋ35,löng4 song2 ,OK,,
49_Waitau_1,49,(天氣)暖和,Warm (weather),Waitau_1,暖,nyŋ13,nüng1 ,OK,,
49_Waitau_2,49,(天氣)暖和,Warm (weather),Waitau_2,和暖,wɔ11nyŋ13,wo4 nüng1 ,OK,,
50_Waitau_1,50,山,Mountain,Waitau_1,山,sæŋ13,sæng1 ,OK,,
51_Waitau_1,51,山頂,Peak,Waitau_1,山頭,sæŋ13tʰɐu11,sæng1 täu4 ,唔肯定,不肯定 圍頭話 是否有“山頭”這一説法,
51_Waitau_2,51,山頂,Peak,Waitau_2,山嶺,sæŋ13lɐŋ35,sæng1 läng2 ,唔肯定,不肯定 圍頭話 是否有“山嶺”這一説法,
52_Waitau_1,52,山腰,Mountainside,Waitau_1,山腰,sæŋ13jiu13,sæng1 yiu1 ,OK,,
53_Waitau_1,53,山麓,Foot of the mountain,Waitau_1,山腳,sæŋ13kœk35,sæng1 gök2 ,OK,,
54_Waitau_1,54,山崖,Cliff,Waitau_1,山崖,sæŋ13ŋai11,sæng1 ngai4 ,OK,,
55_Waitau_1,55,山谷,Valley,Waitau_1,山谷,sæŋ13kok35,sæng1 guk2 ,OK,,
56_Waitau_1,56,山前,Front of mountain,Waitau_1,山前,sæŋ13tsʰiŋ11,sæng1 cing4 ,OK,,
57_Waitau_1,57,山後,Back of mountain,Waitau_1,山後,sæŋ13hɐu22,sæng1 häu6 ,OK,,
58_Waitau_1,58,海,Sea,Waitau_1,海,fui35,fui2 ,OK,,
59_Waitau_1,59,江,River (dischargingintothesea),Waitau_1,河,hɔ11,ho4 ,OK,,
60_Waitau_1,60,湖,Lake,Waitau_1,湖,fu11,fu4 ,OK,,
61_Waitau_1,61,河,River,Waitau_1,水澗,sɵy55kæŋ13,söi2 gæng1 ,OK,,
62_Waitau_1,62,河岸,Riverside,Waitau_1,岸,wuŋ22,wung6 ,OK,,
63_Waitau_1,63,河堤(沿河築),River bank,Waitau_1,壩,pa13,ba1 ,OK,,
64_Waitau_1,64,河壩(攔河築),Dam,Waitau_1,壆,pɤk35,bok2 ,OK,,
65_Waitau_1,65,沙灘,Beach,Waitau_1,沙攔,sa13læŋ35,sa1 læng2 ,OK,,
66_Waitau_1,66,小溪,Stream,Waitau_1,坑,hæŋ13,hæng1 ,OK,,
67_Waitau_1,67,水渠,Trench,Waitau_1,坑渠,hæŋ13kʰy11,hæng1 kü4 ,OK,,
67_Waitau_2,67,水渠,Trench,Waitau_2,水瀝,sɵy55lɛk35,söi2 lek2 ,OK,,
68_Waitau_1,68,池塘,Pond,Waitau_1,塘,tʰɤŋ11,tong4 ,OK,,
69_Waitau_1,69,水坑,Sump Puddle,Waitau_1,氹,tʰɐm13,täm1 ,OK,,
69_Waitau_2,69,水坑,Sump Puddle,Waitau_2,水氹,sɵy55tʰɐm13,söi2 täm1 ,OK,,
70_Waitau_1,70,平地,"Flatland, plain",Waitau_1,平地,pʰɛŋ22ti22,peng6 di6 ,OK,,
71_Waitau_1,71,石頭,Stone,Waitau_1,石仔,sɛk22tsɐi35,sek6 zäi2 ,OK,,
71_Waitau_2,71,石頭,Stone,Waitau_2,石頭,sɛk22tʰɐu11,sek6 täu4 ,OK,,
72_Waitau_1,72,鵝卵石,Cobble stone Pebble,Waitau_1,鵝春石,ŋɔ11tsʰɐŋ13sɛk22,ngo4 cäng1 sek6 ,OK,,
73_Waitau_1,73,沙子,Sand,Waitau_1,泥沙,nɐi11sa13,näi4 sa1 ,OK,,
74_Waitau_1,74,土(乾、半乾),Soil,Waitau_1,燥泥,tsɐu13nɐi11,zäu1 näi4 ,OK,,
75_Waitau_1,75,泥(稀；爛),Mud,Waitau_1,爛泥,næŋ22nɐi11,næng6 näi4 ,OK,,
75_Waitau_2,75,泥(稀；爛),Mud,Waitau_2,濕泥,sɐp35nɐi11,säp2 näi4 ,OK,,
76_Waitau_1,76,灰塵,Dust,Waitau_1,灰塵,fui13tsʰɐŋ11,fui1 cäng4 ,OK,,
76_Waitau_2,76,灰塵,Dust,Waitau_2,泥塵,nɐi11tsʰɐŋ11,näi4 cäng4 ,OK,,
77_Waitau_1,77,垃圾,Rubbish,Waitau_1,垃圾,lap22sap35,lap6 sap2 ,OK,,
78_Waitau_1,78,鐵銹,Rust,Waitau_1,生銹,sæŋ13sɐu35,sæng1 säu2 ,OK,,
79_Waitau_1,79,刨花兒,Wood shavings,Waitau_1,木屑,mok22sip35,muk6 sip2 ,OK,,
80_Waitau_1,80,粉(粉狀物),Powder,Waitau_1,粉,fɐŋ35,fäng2 ,OK,,
81_Waitau_1,81,末兒,Crumb,Waitau_1,碎,sɵy13,söi1 ,OK,,
83_Waitau_1,83,石灰,Lime,Waitau_1,石灰,sɛk22fui13,sek6 fui1 ,OK,,
84_Waitau_1,84,水泥,Concrete,Waitau_1,紅毛泥,hoŋ11mɐu11nɐi11,hung4 mäu4 näi4 ,OK,,
85_Waitau_1,85,玻璃,Glass,Waitau_1,玻璃,pɔ13li55,bo1 li2 ,OK,,
86_Waitau_1,86,漆,Paint(n.),Waitau_1,油,jɐu35,yäu2 ,OK,,
87_Waitau_1,87,磁石,Magnet,Waitau_1,攝石,sip55sɛk22,sip2 sek6 ,OK,,
88_Waitau_1,88,金子,Gold,Waitau_1,金,kɐm13,gäm1 ,OK,,
89_Waitau_1,89,銀子,Silver,Waitau_1,銀,ŋɐŋ11,ngäng4 ,OK,,
90_Waitau_1,90,銅,Copper,Waitau_1,銅,tʰoŋ11,tung4 ,OK,,
91_Waitau_1,91,鐵,Iron,Waitau_1,鐵,tʰik35,tik2 ,OK,,
92_Waitau_1,92,錫,Tin,Waitau_1,錫,sɛk22,sek6 ,OK,,
93_Waitau_1,93,鋁,Aluminium,Waitau_1,鋁,ly13,lü1 ,OK,,
94_Waitau_1,94,冷水,Cold water,Waitau_1,凍水,toŋ13sɵy35,dung1 söi2 ,OK,,
95_Waitau_1,95,溫水,Warm water,Waitau_1,暖水,nyŋ13sɵy35,nüng1 söi2 ,OK,,
96_Waitau_1,96,熱水,Hot water,Waitau_1,熱水,ȵik22sɵy35,ngik6 söi2 ,OK,,
97_Waitau_1,97,沸水,Boiled water,Waitau_1,滾水,kʷɐŋ35sɵy35,gwäng2 söi2 ,OK,,
98_Waitau_1,98,(水)開了,(water) Boiling,Waitau_1,滾,kʷɐŋ35,gwäng2 ,OK,,
99_Waitau_1,99,泔水,Hogwash,Waitau_1,潲水,sau13sɵy35,sau1 söi2 ,OK,,
100_Waitau_1,100,城裏,City,Waitau_1,城,sɛŋ35,seng2 ,OK,,
101_Waitau_1,101,鄉下,Countryside,Waitau_1,鄉下,hœŋ13ha35,höng1 ha2 ,OK,,
102_Waitau_1,102,村子,Village,Waitau_1,村,tsʰyŋ13,cüng1 ,OK,,
103_Waitau_1,103,巷子,Lane,Waitau_1,巷,hɤŋ22,hong6 ,OK,,
104_Waitau_1,104,路,Road,Waitau_1,路,lu22,lu6 ,OK,,
105_Waitau_1,105,東西,Things,Waitau_1,嘢,ja13,ya1 ,OK,,
106_Waitau_1,106,顏色,Colour,Waitau_1,色水,sɐk55sɵy35,säk2 söi2 ,OK,,
107_Waitau_1,107,聲音,Voice,Waitau_1,聲,sɛŋ13,seng1 ,OK,,
108_Waitau_1,108,氣味,Smell,Waitau_1,膸,tsʰɵy11,cöi4 ,OK,,
109_Waitau_1,109,味道,Flavour,Waitau_1,味道,mi22tɐu22,mi6 däu6 ,OK,,
110_Waitau_1,110,光亮,Bright,Waitau_1,皓,hau22,hau6 ,OK,,
111_Waitau_1,111,影子,Shadow,Waitau_1,影,jɐŋ35,yäng2 ,OK,,
112_Waitau_1,112,風景,Landscape,Waitau_1,風景,foŋ13kɐŋ35,fung1 gäng2 ,OK,,
113_Waitau_1,113,前面,In frontof,Waitau_1,前邊,tsʰiŋ11piŋ22,cing4 bing6 ,OK,,
114_Waitau_1,114,後面,Behind,Waitau_1,後邊,hɐu22piŋ22,häu6 bing6 ,OK,,
114_Waitau_2,114,後面,Behind,Waitau_2,後背歷,pilik,bilik,唔肯定,"IPA: hɐu22 pi lik Rom: häu6 bi lik 東莞話會說：""後背底""  IPA: hɐu22 pui22 tɔi35 Rom: häu6 bui6 doi5",
115_Waitau_1,115,左邊,Left side,Waitau_1,左邊,tsɔ35piŋ22,zo2 bing6 ,OK,,
115_Waitau_2,115,左邊,Left side,Waitau_2,左手邊,tsɔ35sɐu35piŋ22,zo2 säu2 bing6 ,OK,,
116_Waitau_1,116,右邊,Right side,Waitau_1,右邊,jɐu22piŋ22,yäu6 bing6 ,OK,,
116_Waitau_2,116,右邊,Right side,Waitau_2,右手邊,jɐu22sɐu35piŋ22,yäu6 säu2 bing6 ,OK,,
117_Waitau_1,117,上面,Above,Waitau_1,上邊,sœŋ22piŋ22,söng6 bing6 ,OK,,
117_Waitau_2,117,上面,Above,Waitau_2,上高,sœŋ22kɐu13,söng6 gäu1 ,OK,,
118_Waitau_1,118,下面,Underside Beneath,Waitau_1,下邊,ha22piŋ22,ha6 bing6 ,OK,,
118_Waitau_2,118,下面,Underside Beneath,Waitau_2,下低,ha22tɐi55,ha6 däi2 ,OK,,
119_Waitau_1,119,裏面,Inside,Waitau_1,入邊,jɐp22piŋ22,yäp6 bing6 ,OK,,
119_Waitau_2,119,裏面,Inside,Waitau_2,入解,jɐp22kai35,yäp6 gai2 ,唔肯定,不確定圍頭話是否有“入解”這種説法。,
120_Waitau_1,120,外面,Outside,Waitau_1,出邊,tsʰɐt55piŋ22,cät2 bing6 ,OK,,
120_Waitau_2,120,外面,Outside,Waitau_2,出茅,tsʰɐt55mau35,cät2 mau2 ,唔肯定,"“外面” 東莞話：“麻口”  IPA: ma21 hau35
“出去外面” 東莞話：“出麻口” IPA:  ts'ɐk44  ma21 hau35",
121_Waitau_1,121,(屋)頂上,On topof,Waitau_1,屋上,ok55sœŋ35,uk2 söng2 ,OK,,
122_Waitau_1,122,(床)底下,Underneath,Waitau_1,床下底,tsʰɤŋ11ha22tɐi35,cong4 ha6 däi2 ,OK,,
123_Waitau_1,123,中間,Middle,Waitau_1,中間心,tsoŋ13kæŋ13sɐm35,zung1 gæng1 säm2 ,唔肯定,,
124_Waitau_1,124,旁邊,Next to Beside,Waitau_1,側邊,tsɐp55piŋ35,zäp2 bing2 ,OK,,
125_Waitau_1,125,對面,Opposite,Waitau_1,對面,tɵy13miŋ22,döi1 ming6 ,OK,,
126_Waitau_1,126,附近,Nearby,Waitau_1,近邊,kɐŋ22piŋ22,gäng6 bing6 ,OK,,
126_Waitau_2,126,附近,Nearby,Waitau_2,附近,fu22kɐŋ22,fu6 gäng6 ,OK,,
127_Waitau_1,127,隔壁,Next door,Waitau_1,隔籬,kɐk55li11,gäk2 li4 ,OK,,
128_Waitau_1,128,鄰居,Neighbour,Waitau_1,隔籬鄰舍,kɐk55li11lɐŋ11sɛ13,gäk2 li4 läng4 se1 ,OK,,
129_Waitau_1,129,今年,This year,Waitau_1,今年,kɐm13niŋ11,gäm1 ning4 ,OK,,
130_Waitau_1,130,去年,Last year,Waitau_1,舊年,kɐu22niŋ11,gäu6 ning4 ,OK,,
131_Waitau_1,131,前年,The year before last year,Waitau_1,前年,tsʰiŋ11niŋ35,cing4 ning2 ,OK,,
132_Waitau_1,132,大前年,Two years before last year,Waitau_1,大前年,tai22tsʰiŋ11niŋ35,dai6 cing4 ning2 ,OK,,
133_Waitau_1,133,明年,Next year,Waitau_1,出年,tsʰɐk55niŋ35,cäk2 ning2 ,OK,,
134_Waitau_1,134,後年,The year after next year,Waitau_1,後年,hɐu22niŋ35,häu6 ning2 ,OK,,
135_Waitau_1,135,大後年,Two years after next year,Waitau_1,大後年,tai22hɐu22niŋ35,dai6 häu6 ning2 ,OK,,
136_Waitau_1,136,今天,Today,Waitau_1,今日,kɐm13jɐk22,gäm1 yäk6 ,OK,,
137_Waitau_1,137,昨天,Yesterday,Waitau_1,昨日,tsʰɔ13jɐk35,co1 yäk2 ,OK,,
138_Waitau_1,138,前天,The day before yesterday,Waitau_1,前日,tsʰiŋ11jɐk35,cing4 yäk2 ,OK,,
139_Waitau_1,139,大前天,Two days before yesterday,Waitau_1,大前日,tai22tsʰiŋ11jɐk35,dai6 cing4 yäk2 ,OK,,
140_Waitau_1,140,明天,Tomorrow,Waitau_1,聽日,tʰɐŋ13jɐk22,täng1 yäk6 ,OK,,
141_Waitau_1,141,後天,The day after tomorrow,Waitau_1,後日,hɐu22jɐk22,häu6 yäk6 ,OK,,
142_Waitau_1,142,大後天,Two days after tomorrow,Waitau_1,大後日,tai22hɐu22jɐk22,dai6 häu6 yäk6 ,OK,,
143_Waitau_1,143,次日,Next day,Waitau_1,第二日,tɐi22ȵi22jɐk22,däi6 ngi6 yäk6 ,OK,,
144_Waitau_1,144,每天,Everyday,Waitau_1,日日,jɐk22jɐk22,yäk6 yäk6 ,OK,,
145_Waitau_1,145,日子(時日),Day,Waitau_1,日子,jɐk22tsi35,yäk6 zi2 ,OK,,
146_Waitau_1,146,(幾個)小時,Hour,Waitau_1,鐘頭,tsoŋ13tʰɐu11,zung1 täu4 ,OK,,
147_Waitau_1,147,(幾)點,O’clock,Waitau_1,點鐘,tim35tsoŋ13,dim2 zung1 ,OK,,
148_Waitau_1,148,黎明(日出前),Dawn,Waitau_1,天光,tʰiŋ13kʷɔŋ13,ting1 gwong1 ,OK,,
149_Waitau_1,149,早晨(泛指),Early morning,Waitau_1,朝頭早,tsiu22tʰɐu11tsɐu55,ziu6 täu4 zäu2 ,OK,,
150_Waitau_1,150,上午,Morning,Waitau_1,上晝,sœŋ22tsɐu13,söng6 zäu1 ,OK,,
151_Waitau_1,151,中午,Noon,Waitau_1,晏晝,æŋ22tsɐu35,æng6 zäu2 ,唔肯定,IPA: æŋ22 tsɐu22 Rom: æng6 zäu6,
152_Waitau_1,152,下午,Afternoon,Waitau_1,下晝,ha22tsɐu35,ha6 zäu2 ,唔肯定,IPA: ha22 tsɐu22 Rom: ha6 zäu6,
153_Waitau_1,153,傍晚,Dusk,Waitau_1,挨晚,ai13mæŋ13,ai1 mæng1 ,OK,,
154_Waitau_1,154,白天,Daytime,Waitau_1,日頭,jɐk22tʰɐu35,yäk6 täu2 ,OK,,
155_Waitau_1,155,夜裏(睡靜後),Night,Waitau_1,晚頭黑,mæŋ13tʰɐu11hak55,mæng1 täu4 hak2 ,OK,,
156_Waitau_1,156,晚上(掌燈至入睡前),Evening,Waitau_1,入夜,jɐp22ja22,yäp6 ya6 ,唔肯定,,
157_Waitau_1,157,整天,Whole day,Waitau_1,成日,sɛŋ11jak22,seng4 yak6 ,OK,,
158_Waitau_1,158,天亮了,Daybreak,Waitau_1,天光,tʰiŋ13kʷɔŋ13,ting1 gwong1 ,OK,,
159_Waitau_1,159,天黑了,(The day is) getting dark,Waitau_1,天黑,tʰiŋ13hɐk35,ting1 häk2 ,OK,,
160_Waitau_1,160,月初,Beginning of the month,Waitau_1,月頭,jyk22tʰɐu11,yük6 täu4 ,OK,,
161_Waitau_1,161,月底,At the end of the month,Waitau_1,月尾,jyk22mi13,yük6 mi1 ,OK,,
162_Waitau_1,162,從前,Before In the past,Waitau_1,舊時,kɐu22si11,gäu6 si4 ,OK,,
162_Waitau_2,162,從前,Before In the past,Waitau_2,舊陣時,kɐu22tsɐŋ22si11,gäu6 zäng6 si4 ,OK,,
163_Waitau_1,163,現在,Now,Waitau_1,那下,na55ha13,na2 ha1 ,OK,,
164_Waitau_1,164,起初,At the beginning,Waitau_1,起頭,hi55tʰɐu11,hi2 täu4 ,OK,,
164_Waitau_2,164,起初,At the beginning,Waitau_2,開首,fui13sɐu35,fui1 säu2 ,OK,,
165_Waitau_1,165,後來,Later,Waitau_1,後尾,hɐu22mi13,häu6 mi1 ,OK,,
165_Waitau_2,165,後來,Later,Waitau_2,收尾,sɐu55mi13,säu2 mi1 ,OK,,
166_Waitau_1,166,最後,At last,Waitau_1,最收尾,tsɵy13sɐu55mi13,zöi1 säu2 mi1 ,OK,,
166_Waitau_2,166,最後,At last,Waitau_2,最後尾,tsɵy13hɐu22mi13,zöi1 häu6 mi1 ,OK,,
167_Waitau_1,167,剛才,A moment ago,Waitau_1,啱先,ŋam55siŋ13,ngam2 sing1 ,OK,,
167_Waitau_2,167,剛才,A moment ago,Waitau_2,頭先,tʰɐu11siŋ13,täu4 sing1 ,OK,,
168_Waitau_1,168,大年初一,The first day of Chinese Lunar New Year,Waitau_1,大年初一,tai22niŋ11tsʰɔ13jɐk35,dai6 ning4 co1 yäk2 ,OK,,
168_Waitau_2,168,大年初一,The first day of Chinese Lunar New Year,Waitau_2,年初一,niŋ11tsʰɔ13jɐk35,ning4 co1 yäk2 ,OK,,
169_Waitau_1,169,端午節,Dragon Boat Festival,Waitau_1,五月節,ŋ13jyk22tsik35,ng1 yük6 zik2 ,OK,,
169_Waitau_2,169,端午節,Dragon Boat Festival,Waitau_2,扒龍船,pʰa11loŋ11syŋ11,pa4 lung4 süng4 ,OK,,
170_Waitau_1,170,中秋節,Mid-Autumn Festival,Waitau_1,八月十五,pæk55jyk22sɐp22ŋ13,bæk2 yük6 säp6 ng1 ,OK,,
171_Waitau_1,171,重陽節,The Double Ninth Festival,Waitau_1,重陽,tsʰoŋ11jɔŋ11,cung4 yong4 ,OK,,
171_Waitau_2,171,重陽節,The Double Ninth Festival,Waitau_2,重九,tsʰoŋ11kɐu35,cung4 gäu2 ,OK,,
171_Waitau_3,171,重陽節,The Double Ninth Festival,Waitau_3,九月九,kɐu55jyk22kɐu35,gäu2 yük6 gäu2 ,OK,,
172_Waitau_1,172,除夕,New Near’s Eve,Waitau_1,大年卅晚,tai22niŋ11sa22mæŋ13,dai6 ning4 sa6 mæng1 ,OK,,
172_Waitau_2,172,除夕,New Near’s Eve,Waitau_2,年卅晚,niŋ11sa22mæŋ13,ning4 sa6 mæng1 ,OK,,
173_Waitau_1,173,曆書,The Chinese calendar book Almanac,Waitau_1,通勝,tʰoŋ13sy133,tung1 sü1 3,有問題,上下亂咗,
173_Waitau_2,173,曆書,The Chinese calendar book Almanac,Waitau_2,通書,tʰoŋ13sɐŋ13,tung1 säng1 ,有問題,,
174_Waitau_1,174,一輩子,A whole life,Waitau_1,一世,jɐk55sɐi13,yäk2 säi1 ,OK,,
174_Waitau_2,174,一輩子,A whole life,Waitau_2,成世人,sɛŋ11sɐi13(jɐŋ11),seng4 säi1 (yäng4 ),OK,,
175_Waitau_1,175,前世,Previous life,Waitau_1,前世,tsʰiŋ11sɐi13,cing4 säi1 ,OK,,
176_Waitau_1,176,後世,Next life,Waitau_1,下一世,ha22jɐt55sɐi13,ha6 yät2 säi1 ,OK,,
176_Waitau_2,176,後世,Next life,Waitau_2,第二世,tɐi22ȵi22sɐi13,däi6 ngi6 säi1 ,OK,,
177_Waitau_1,177,一會兒,A while,Waitau_1,一陣間,jɐk55tsɐŋ22kæŋ35,yäk2 zäng6 gæng2 ,OK,,
178_Waitau_1,178,瞬間,A moment,Waitau_1,眨下眼,tsam35ha13ŋæŋ35,zam2 ha1 ngæng2 ,OK,,
179_Waitau_1,179,(什麼)時候,(What)time,Waitau_1,時候,si11hɐu22,si4 häu6 ,OK,,
180_Waitau_1,180,水田,Paddy field,Waitau_1,水田,sɵy55tʰiŋ11,söi2 ting4 ,OK,,
181_Waitau_1,181,旱地,Dry land,Waitau_1,田,tʰiŋ11,ting4 ,OK,,
182_Waitau_1,182,田埂,Fieldridge,Waitau_1,田壆,tʰiŋ11pɤk35,ting4 bok2 ,OK,,
184_Waitau_1,184,種田,Farm(v.),Waitau_1,耕田,kæŋ13tʰiŋ11,gæng1 ting4 ,OK,,
186_Waitau_1,186,插秧,Transplant rice seedlings (into irrigated field),Waitau_1,蒔田,si13tʰiŋ11,si1 ting4 ,OK,,
187_Waitau_1,187,耘田,Plough(v) furrow,Waitau_1,剔禾草,tʰik55wɔ11tsʰɐu35,tik2 wo4 cäu2 ,OK,,
188_Waitau_1,188,割稻,Reap the paddy,Waitau_1,割禾,kʷut55wɔ11,gwut2 wo4 ,OK,,
189_Waitau_1,189,脫粒,Thresh,Waitau_1,拌禾,pʰæŋ13wɔ11,pæng1 wo4 ,OK,,
189_Waitau_2,189,脫粒,Thresh,Waitau_2,打穀,ta35kok35,da2 guk2 ,OK,,
190_Waitau_1,190,稻草,Straw,Waitau_1,禾稈草,wɔ11kʷuŋ55tsʰɐu35,wo4 gwung2 cäu2 ,OK,,
191_Waitau_1,191,稻茬兒,The bottom of the paddy stalk,Waitau_1,禾稈頭,wɔ11kʷun35tʰɐu11,wo4 gwun2 täu4 ,OK,,
192_Waitau_1,192,撒(草木灰),Scatter,Waitau_1,撤,sæk35,sæk2 ,OK,,
193_Waitau_1,193,漚肥(漚制肥料),Fermentation of organic fertilizer,Waitau_1,漚,ɐu13,äu1 ,OK,,
194_Waitau_1,194,鋤頭,Hoe,Waitau_1,鋤頭,tsʰɔ11tʰɐu11,co4 täu4 ,OK,,
195_Waitau_1,195,(鋤頭)把,Hoe handle,Waitau_1,柄,pɛŋ13,beng1 ,OK,,
196_Waitau_1,196,鐵鍬,Shovel,Waitau_1,鏟,tsʰæŋ35,cæng2 ,OK,,
197_Waitau_1,197,鎬(挖土用),Pick(n.),Waitau_1,番釘,fæŋ13tɛŋ13,fæng1 deng1 ,OK,,
198_Waitau_1,198,鐮刀(割禾用),Sickle (for reaping),Waitau_1,禾鐮,wɔ11lim35,wo4 lim2 ,OK,,
199_Waitau_1,199,鐮刀(割草用),Sickle (for cutting grass),Waitau_1,草鐮,tsʰɐu35lim35,cäu2 lim2 ,OK,,
199_Waitau_2,199,鐮刀(割草用),Sickle (for cutting grass),Waitau_2,草鐮,tsʰɐu55lim31,cäu2 lim31,唔肯定,IPA：tsʰɐu35 lin21 的讀音更貼合東莞話的語感。,
200_Waitau_1,200,柴刀,Chopper for chopping wood,Waitau_1,柴刀,tsʰai22tɐu13,cai6 däu1 ,OK,,
201_Waitau_1,201,犁,Plough(n.),Waitau_1,犁,lɐi11,läi4 ,OK,,
202_Waitau_1,202,耙,Harrow,Waitau_1,耙,pʰa11,pa4 ,OK,,
