char,pron
否認,fiu3 ngin4
至少,zi4 sau3
長期,cong2 ki2
成立,sin2 lip6
傳真,con2 zin1
唔好,m1 hau3
以為,yi1 vui2
加強,ga1 kiong2
可惜,ko3 sit5
汽車,ki4 ca1
否則,fiu3 zet5
遊行,yiu2 hang2
家長,ga1 zong3
巴塞,ba1 soi4
巴士,ba1 si3
身上,sin1 song4
為主,vui2 zu3
晚上,man1 song4
會議,fui4 ngi4
接近,ziap5 kiun4
不要,but5 yau4
解決,gai3 giet5
重新,cung2 sin1
更加,gen4 ga1
以上,yi1 song4
難以,lan2 yi1
音樂,yim1 ngok6
供應,giung1 yin4
曾經,cen2 gin1
協會,hiap6 fui4
印度,yin4 tu4
一齊,yit5 ce2
質素,zit5 su4
經驗,gin1 ngiam4
長者,zong3 za3
方便,fong1 pien4
早上,zau3 song4
將軍澳,ziong1 giun1 au4
警吿,gin3 gau4
都好,du1 hau3
事實上,su4 sit6 song4
名單,min2 dan1
幾乎,gi1 fu2
灣仔,van1 zai3
打擊,da3 git5
中學,zung1 hok6
大會,tai4 fui4
經理,gin1 li1
最好,zui4 hau3
平台,pin2 toi2
比率,bi3 lut6
正常,zin4 song2
演唱會,yen1 cong4 fui4
年度,ngien2 tu4
局長,kiuk6 zong3
只會,zit5 voi4
的士,dit5 si3
之間,zu1 gan1
自行,cu4 hang2
病毒,piang4 tuk6
分享,fun1 hiong3
提名,ti2 min2
聽到,tang4 dau4
真正,zin1 zin4
制度,zi4 tu4
態度,tai4 tu4
味道,mui4 tau4
娛樂,ngu2 lok6
上述,song4 sut6
相對,siong1 dui4
總監,zung3 gam1
參選,cam1 sien3
行業,hong2 ngiap6
唔使,m1 su3
車路士,ca1 lu4 su4
應付,yin4 fu4
好友,hau3 yiu1
傳出,con2 cut5
唔少,m1 sau3
校長,gau4 zong3
記者會,gi4 za3 fui4
經歷,gin1 lit6
再度,zai4 tu4
成交價,sin2 gau1 ga4
打算,da3 son4
名人,min2 ngin2
正是,zin4 si4
困難,kun4 lan2
興建,hin1 gien4
波經,bo1 gin1
能否,len2 fiu3
屬於,suk6 yi1
尊重,zun1 cung4
單車,dan1 ca1
鑽石,zon4 sak6
中大,zung1 tai4
重建,cung2 gien4
暴力,pau4 lit6
最少,zui4 sau3
著名,zu4 min2
食品,sit6 pin3
旅行,li3 hang2
排名,pai2 min2
一下,yit5 ha4
飲食,yim3 sit6
相反,siong1 fan3
私家車,su1 ga1 ca1
經典,gin1 dien3
互相,fu4 siong1
執行,zip5 hang2
正面,zin4 mien4
行政總裁,hang2 zin4 zung3 cai2
道歉,tau4 kiap5
為何,vui4 ho2
平日,pin2 ngit5
監管,gam1 gon3
參考,cam1 kau3
發行,fat5 hang2
假期,ga4 ki2
點解,diam3 gai3
第三,ti4 sam1
將來,ziong1 loi2
和平,fo2 pin2
樂觀,lok6 gon1
店舖,diam4 pu4
中期,zung1 ki2
生命,sang1 min4
從事,cung2 su4
集會,sip6 fui4
之中,zu1 zung1
興趣,hin4 ci4
被控,pi4 kung4
禁止,gim4 zi3
瑞士,sui4 su4
為甚麼,vui4 sim3 mo1
力量,lit6 liong4
好好,hau3 hau3
監察,gam1 cat5
即刻,zit5 ket5
少年,sau4 ngien2
被迫,pi4 bet5
難怪,lan2 gai4
參觀,cam1 gon1
有否,yiu1 fiu3
推行,tui1 hang2
平時,pin2 si2
房間,fong2 gan1
正選,zin4 sien3
速度,suk5 tu4
即將,zit5 ziong1
當晚,dong1 man1
玩具,ngan4 ki3
荷李活,ho2 li3 fat6
分店,fun1 diam4
會面,fui4 mien4
背景,boi4 gin3
議會,ngi4 fui4
讀書,tuk6 su1
勝出,sin4 cut5
觀察,gon1 cat5
分手,fun1 siu3
強勁,kiong2 gin4
各種,gok5 zung3
行政,hang2 zin4
貿易,miu3 yit6
食肆,sit6 si4
兩岸,liong1 ngan4
中港,zung1 gong3
上訴,song4 su4
間隔,gan4 gak5
名牌,min2 pai2
貨車,fo4 ca1
身為,sin1 vui2
經理人,gin1 li1 ngin2
沙士,sa1 si3
傳聞,con2 vun2
漫畫,man4 fa4
角度,gok5 tu4
集中,sip6 zung1
當選,dong1 sien3
停車場,tin2 ca1 cong2
背後,boi4 hiu4
觀塘,gon1 tong2
分組,fun1 zu3
財經,coi2 gin1
齊齊,ce2 ce2
手上,siu3 song4
處於,cu3 yi1
主客和,zu3 hak5 fo2
興奮,hin1 fun3
美食,mui1 sit6
工會,gung1 fui4
射手,sa4 siu3
多少,do1 sau3
錯誤,co4 ngu4
成日,sang2 ngit5
從未,cung2 vui4
組成,zu3 sin2
中原,zung1 ngien2
良好,liong2 hau3
難度,lan2 tu4
青少年,ciang1 sau4 ngien2
重返,cung2 fan3
百分點,bak5 fun4 diam3
自從,cu4 cung2
改為,goi3 vui2
散户,san3 fu4
地上,ti4 song4
隊長,dui4 zong3
信用卡,sin4 yung4 kat6
為例,vui2 li4
形成,hin2 sin2
相比,siong1 bi3
驚喜,gin1 hi3
中文,zung1 vun2
重點,cung4 diam3
畫面,fa4 mien4
重大,cung4 tai4
家屬,ga1 suk6
中資,zung1 zu1
成份,sin2 fun4
迪士尼,tit6 su4 li2
打扮,da3 pan4
華人,fa2 ngin2
幸好,hen4 hau3
惡化,ok5 fa4
重申,cung2 sin1
盡量,cin4 liong4
負擔,fu4 dam1
平衡,pin2 fen2
重組,cung2 zu3
門將,mun2 ziong4
較為,gau4 vui2
民間,min2 gan1
低調,dai1 tiau4
勝利,sin4 li4
聯會,lien2 fui4
電單車,tien4 dan1 ca1
兩地,liong1 ti4
假如,ga3 yi2
打破,da3 po4
列車,liet6 ca1
車廂,ca1 siong1
降低,gong4 dai1
會上,fui4 song4
達成,tat6 sin2
打壓,da3 ap5
刻意,ket5 yi4
馬上,ma1 song4
之上,zu1 song4
罪名,cui4 min2
落成,lok6 sin2
名字,min2 su4
實行,sit6 hang2
數量,su4 liong4
經紀,gin1 gi3
銷量,siau1 liong4
名為,min2 vui2
護士,fu4 su4
國會,get5 fui4
同行,tung2 hang2
同行,tung2 hong2
司長,su1 zong3
男士,lam2 su4
簽名,ciam1 miang2
長遠,cong2 yen3
倒退,dau4 tui4
小説,siau3 sot5
就好,ciu4 hau3
車禍,ca1 fo4
中午,zung1 ng3
跑車,pau1 ca1
少許,sau3 hi3
中電,zung1 tien4
通道,tung1 tau4
會員,fui4 yen2
基本上,gi1 bun3 song4
中聯辦,zung1 lien2 pan4
證監會,zin4 gam1 fui4
相機,siong4 gi1
差不多,ca1 but5 do1
對上,dui4 song4
上限,song4 han4
承擔,sin2 dam1
相同,siong1 tung2
行使,hang2 su3
上載,song4 zoi4
上午,song4 ng3
新鮮,sin1 sien1
樂園,lok6 yen2
毒品,tuk6 pin3
核心,het6 sim1
易手,yit6 siu3
難得,lan2 det5
進食,zin4 sit6
高度,gau1 tu4
效應,hau4 yin4
馬會,ma1 fui4
總會,zung3 voi4
不錯,but5 co4
正如,zin4 yi2
強烈,kiong2 liet6
視為,si4 vui2
傍晚,pong2 man1
好多人,hau3 do1 ngin2
重視,cung4 si4
渣打,za1 da3
穿着,con1 zok5
會長,fui4 zong3
打氣,da3 hi4
更新,gang1 sin1
近況,kiun4 kong3
九成,giu3 sin2
成熟,sin2 suk6
轉會,zon4 fui4
快樂,kai4 lok6
參賽,cam1 soi4
相似,siong1 su4
海鮮,hoi3 sien1
少少,sau3 sau3
革命,gak5 min4
亮相,liong4 siong4
旅行社,li3 hang2 sa1
啤酒,bia1 ziu3
成長,sin2 zong3
食環署,sit6 van2 su4
體重,ti3 cung1
中方,zung1 fong1
飛行,fui1 hang2
入行,ngip6 hong2
份量,fun4 liong4
發覺,fat5 gok5
幾年,gi3 ngien2
中間,zung1 gan1
差距,ca1 ki3
利好,li4 hau3
分別為,fun1 piet6 vui2
從而,cung2 yi2
強積金,kiong3 zit5 gim1
監製,gam1 ze4
仲要,cung4 yau4
奧斯卡,au4 su1 ka1
當天,dong1 tien1
時刻,si2 ket5
芝士,zi1 si3
供應商,giung1 yin4 song1
中華,zung1 fa2
説明,sot5 min2
樂隊,ngok6 dui4
長大,zong3 tai4
延長,yen2 cong2
罪行,cui4 hang2
一番,yit5 fan1
強姦,kiong2 gan1
的説,dit5 sot5
公仔,gung1 zai3
行車,hang2 ca1
真相,zin1 siong4
董事長,dung3 su4 zong3
區議會,ki1 ngi4 fui4
公平,gung1 pin2
注射,zu4 sa4
判斷,pan4 ton4
中堅,zung1 gien1
理解,li1 gai3
報名,bau4 miang2
上次,song4 cu4
影相,yang3 siong4
三月,sam1 ngiet6
食飯,sit6 fan4
當場,dong1 cong2
民調,min2 tiau2
成就,sin2 ciu4
年中,ngien2 zung1
車仔,ca1 zai3
樂壇,ngok6 tan2
分子,fun4 zu3
車手,ca1 siu3
適應,sit5 yin4
豪華,hau2 fa2
車位,ca1 vui4
觀看,gon1 kon4
學會,hok6 fui4
學會,hok6 voi4
便宜,pien2 li2
金屬,gim1 suk6
少數,sau3 su4
高興,gau1 hin4
途中,tu2 zung1
禁區,gim4 ki1
廣東話,gong3 dung1 va4
為人,vui2 ngin2
校園,gau4 yen2
普通話,pu1 tung1 va4
好彩,hau3 cai3
因應,yin1 yin4
變相,bien4 siong4
車主,ca1 zu3
泡沫,pau1 mat6
更換,gang1 von4
流行,liu2 hang2
華盛頓,fa2 sang4 dun4
難免,lan2 men1
上年,song4 ngien2
成人,sin2 ngin2
一國兩制,yit5 get5 liong1 zi4
適當,sit5 dong4
分拆,fun1 cak5
首映,siu3 yang3
暑假,cu3 ga4
名家,min2 ga1
正確,zin4 kok5
博士,bok5 su4
鄰近,lin2 kiun4
只好,zit5 hau3
會考,fui4 kau3
説法,sot5 fap5
重慶,cung2 kin4
誤會,ngu4 fui4
房車,fong2 ca1
救護車,giu4 fu4 ca1
好轉,hau3 zon3
行李,hang2 li3
大使,tai4 su3
大使,tai4 si4
知識,zi4 sit5
重心,cung4 sim1
中東,zung1 dung1
長達,cong2 tat6
命運,min4 yun4
轉變,zon3 bien4
就讀,ciu4 tuk6
增強,zen1 kiong2
車身,ca1 sin1
重傷,cung1 song1
一刻,yit5 ket5
解放軍,gai3 fong4 giun1
百分之,bak5 fun4 zu1
供款,giung1 kan3
隧道,sui4 tau4
否決,fiu3 giet5
從前,cung2 cien2
控吿,kung4 gau4
會所,fui4 so3
上址,song4 zi3
風暴,fung1 pau4
監獄,gam1 ngiuk6
游説,yiu2 soi4
幾多,gi3 do1
施政報吿,si1 zin4 bau4 gau4
粉嶺,fun3 liang1
觀點,gon1 diam3
乘坐,sin2 co1
中線,zung1 sien4
優質,yiu2 zit5
中年,zung1 ngien2
轉投,zon3 tiu2
通吿,tung1 gau4
答應,dap5 yin4
辦事處,pan4 su4 cu4
得分,det5 fun1
出名,cut5 miang2
姓名,siang4 min2
高調,gau1 tiau4
車頭,ca1 tiu2
上水,song4 sui3
眼中,ngan3 zung1
平方米,pin2 fong1 mi3
火車,fo3 ca1
長線,cong2 sien4
舖位,pu4 vui4
流傳,liu2 con2
共和黨,kiung4 fo2 dong3
為止,vui2 zi3
為期,vui2 ki2
心中,sim1 zung1
從此,cung2 cu3
靈感,lin2 gam3
以便,yi1 pien4
食材,sit6 coi2
葵涌,kui2 cung1
道德,tau4 det5
頻道,pin2 tau4
被困,pi4 kun4
傳播,con2 bo4
稱為,cin1 vui2
輕易,kiang1 yi4
罪成,cui4 sin2
藉此,cit6 cu3
山頂,san1 dang3
評分,pin2 fun1
更改,gang1 goi3
度假,tu4 ga4
道理,tau4 li1
過度,go4 tu4
難道,lan2 tau4
聽聞,tang4 vun2
奪冠,tot6 gon4
作供,zok5 giung1
娛樂圈,ngu2 lok6 kien1
實質,sit6 zit5
實際上,sit6 zi4 song4
相當於,siong1 dong1 yi1
頂級,din3 kip5
比重,bi3 cung1
盛傳,sang4 con2
打電話,da3 tien4 va4
轉型,zon3 hin2
閲讀,yet6 tuk6
適量,sit5 liong4
相繼,siong1 gi4
含量,ham2 liong4
背心,boi4 sim1
中文大學,zung1 vun2 tai4 hok6
屏幕,pin2 mok5
上面,song4 mien4
驚人,gin1 ngin2
度過,tu4 go4
協調,hiap6 tiau2
步行,pu4 hang2
行山,hang2 san1
種種,zung3 zung3
吃飯,ket5 fan4
重複,cung2 fuk5
好過,hau3 go4
當初,dong1 co1
極度,kit6 tu4
諗住,lem3 cu4
強制,kiong3 zi4
打工仔,da3 gung1 zai3
分配,fun1 pui4
音樂會,yim1 ngok6 fui4
橫行,vang2 hang2
陪伴,pui2 pan4
平手,pin2 siu3
所屬,so3 suk6
相處,siong1 cu4
商舖,song1 pu4
假設,ga3 siet5
麥當勞,mak6 dong1 lau2
首相,siu3 siong4
公會,gung1 fui4
淪為,lun2 vui2
傳奇,con4 ki2
聚會,ci4 fui4
靚仔,liang4 zai3
好多時,hau3 do1 si2
名稱,min2 cin1
中醫,zung1 yi1
接種,ziap5 zung4
約會,yok5 fui4
約會,yok5 fui4
賽車,soi4 ca1
進度,zin4 tu4
東涌,dung1 cung1
吿別,gau4 piet6
震驚,zin3 gin1
幾時,gi3 si2
庭上,tin2 song4
首名,siu3 min2
贊成,zan4 sin2
毆打,iu3 da3
相約,siong1 yok5
立刻,lip6 ket5
上司,song4 su1
食用,sit6 yung4
轉介,zon3 gai4
市道,si4 tau4
工聯會,gung1 lien2 fui4
景觀,gin3 gon1
中產,zung1 san3
轉移,zon3 yi2
温度,vun1 tu4
間接,gan4 ziap5
產量,san3 liong4
原吿,ngien2 gau4
董事會,dung3 su4 fui4
交易日,gau1 yit6 ngit5
道路,tau4 lu4
孖展,ma1 zien3
主打,zu3 da3
中風,zung4 fung1
列為,liet6 vui2
商會,song1 fui4
附屬,fu4 suk6
士氣,su4 hi4
中鋒,zung1 fung1
坊間,fong2 gan1
應對,yin4 dui4
神經,sin2 gin1
監禁,gam1 gim4
上調,song4 tiau2
據説,gi3 sot5
珍惜,zin1 sit5
落車,lok6 ca1
重量,cung1 liong4
乘搭,sin2 dap5
勇士,yung3 su4
相差,siong1 ca1
災難,zai1 lan4
打機,da3 gi1
好處,hau3 cu4
温和,vun1 fo2
預吿,yi4 gau4
行政長官,hang2 zin4 zong3 gon1
最為,zui4 vui2
太平洋,tai4 pin2 yong2
嘅話,e4 va4
重拾,cung2 sip6
學生會,hok6 sang1 fui4
成效,sin2 hau4
街上,gai1 song4
監視,gam1 si4
監控,gam1 kung4
樓上,liu2 song4
扭轉,ngiu3 zon3
中招,zung4 zau1
旅行團,li3 hang2 ton2
正好,zin4 hau3
發射,fat5 sa4
少於,sau3 yi1
相連,siong1 lien2
車長,ca1 zong3
牛仔褲,ngiu2 zai3 fu4
不惜,but5 sit5
必要,bit5 yau4
打出,da3 cut5
吸毒,kip5 tuk6
從中,cung2 zung1
食客,sit6 hak5
稍為,sau1 vui2
唔錯,m1 co4
打工,da3 gung1
交易所,gau1 yit6 so3
吿訴,gau4 su4
取勝,ci3 sin4
為此,vui4 cu3
判監,pan4 gam1
錯過,co4 go4
勞工處,lau2 gung1 cu3
夥伴,fo3 pan4
會場,fui4 cong2
極為,kit6 vui2
漂亮,piau4 liong4
節省,ziet5 sen3
間中,gan4 zung1
部長,pu4 zong3
平民,pin2 min2
玫瑰,moi2 gui4
處長,cu4 zong3
四強,si4 kiong2
警車,gin3 ca1
驚訝,gin1 nga3
接着,ziap5 cok6
疏散,so1 san4
放假,fong4 ga4
平穩,pin2 vun3
平安,pin2 on1
頗為,po3 vui2
消毒,siau1 tuk6
重現,cung2 hien4
為你,vui4 li3
市長,si4 zong3
途經,tu2 gin1
從不,cung2 but5
任命,ngim4 min4
與否,yi1 fiu3
難民,lan4 min2
長江,cong2 gong1
不便,but5 pien4
便利店,pien4 li4 diam4
史上,si3 song4
行駛,hang2 su3
爭拗,zang1 au4
車牌,ca1 pai2
車隊,ca1 dui4
善長,sien4 zong3
維他命,vui2 ta1 min4
撐場,cang4 cong2
剛好,gong1 hau3
壟斷,lung1 ton4
客貨車,hak5 fo4 ca1
限量,han4 liong4
成事,sang2 su4
渠道,ki2 tau4
轉向,zon3 hiong4
應用,yin4 yung4
重温,cung2 vun1
古仔,gu3 zai3
和解,fo2 gai3
車站,ca1 zam4
笑話,siau4 va4
未經,vui4 gin1
成都,sin2 du1
至上,zi4 song4
近來,kiun4 loi2
會見,fui4 gien4
解僱,gai3 gu4
理會,li1 fui4
虛假,hi1 ga3
番茄,fan1 kio2
差異,ca1 yi4
東莞,dung1 gon3
強行,kiong3 hang2
行會,hong2 fui4
疏忽,so1 fut5
出道,cut5 tau4
名義,min2 ngi4
公吿,gung1 gau4
相識,siong1 sit5
衣着,yi1 zok5
會計,fui4 ge4
分為,fun1 vui2
天使,tien1 si4
行人,hang2 ngin2
爵士,ziok5 su4
華裔,fa2 yi3
出錯,cut5 co4
行人路,hang2 ngin2 lu4
身處,sin1 cu3
強國,kiong2 get5
監督,gam1 duk5
伴侶,pan4 li1
正當,zin4 dong4
理應,li1 yin1
靈活,lin2 fat6
平反,pin2 fan3
名校,min2 gau4
升降機,sin1 gong4 gi1
傳染病,con2 ngiam4 piang4
恐怖分子,kiung3 bu4 fun4 zu3
睡覺,soi4 gau4
當作,dong4 zok5
市中心,si4 zung1 sim1
季度,gui4 tu4
種類,zung3 lui4
司法覆核,su1 fap5 fuk5 het6
大阪,tai4 ban3
不當,but5 dong4
要是,yau4 si4
會計師,fui4 ge4 su1
物質,vut6 zit5
接載,ziap5 zoi4
倒數,dau4 su4
中學生,zung1 hok6 sang1
履行,li1 hang2
反觀,fan3 gon1
院長,yen4 zong3
平價,piang2 ga4
後便,hiu4 pien4
種籽,zung3 zu3
重創,cung1 cong3
勝負,sin4 fu4
失分,sit5 fun1
八強,bat5 kiong2
校友,gau4 yiu1
聽過,tang4 go4
相撞,siong1 cong4
觀賞,gon1 song3
華為,fa2 vui2
黑社會,het5 sa1 fui4
跟着,gen1 cok6
署長,su4 zong3
戰士,zien4 su4
不禁,but5 gim4
迫使,bet5 si3
時間表,si2 gan4 biau3
量度,liong2 tok6
強硬,kiong2 ngang4
生長,sang1 zong3
入讀,ngip6 tuk6
警長,gin3 zong3
電車,tien4 ca1
小食,siau3 sit6
略為,liok6 vui2
馬體會,ma1 ti3 fui4
分歧,fun1 ki1
長子,zong3 zu3
經已,gin1 yi3
上漲,song4 zong4
縱橫,zung1 vang2
點滴,diam3 tit6
供稱,giung1 cin1
跌倒,diet5 dau3
中毒,zung4 tuk6
暴雨,pau4 yi3
成果,sin2 go3
降温,gong4 vun1
調味,tiau2 mui4
傳送,con2 sung4
難忘,lan2 mong2
注重,zu4 cung4
品種,pin3 zung3
第一時間,ti4 yit5 si2 gan4
難過,lan2 go4
造假,cau4 ga3
容量,yung2 liong4
熊貓,yung2 miau4
人為,ngin2 vui2
圍觀,vui2 gon1
當事人,dong1 su4 ngin2
貴金屬,gui4 gim1 suk6
和局,fo2 kiuk6
四處,si4 cu4
第三者,ti4 sam1 za3
支撐,zi1 cang1
逼近,bit5 kiun4
烹調,pen1 tiau2
街道,gai1 tau4
當前,dong1 cien2
降班,gong4 ban1
和諧,fo2 hai2
華麗,fa2 li4
車尾,ca1 mui1
行政會議,hang2 zin4 fui4 ngi4
正值,zin4 cit6
分裂,fun1 liet6
通車,tung1 ca1
香港仔,hiong1 gong3 zai3
服食,fuk6 sit6
煩惱,fan2 lau3
卡通,ka1 tung1
倒閉,dau3 bi4
勉強,men1 kiong3
診斷,zin3 ton4
車廠,ca1 cong3
路上,lu4 song4
演説,yen1 sot5
不和,but5 fo2
強大,kiong2 tai4
差價,ca1 ga4
爭相,zang1 siong1
地舖,ti4 pu4
相隔,siong1 gak5
致命,zi4 min4
為本,vui2 bun3
匿名,lit6 min2
指正,zi3 zin4
觀光,gon1 gong1
轉戰,zon4 zien4
從來,cung2 loi2
強化,kiong2 fa4
名將,min2 ziong4
打得,da3 det5
倒塌,dau3 tap5
險勝,hiam3 sin4
分散,fun1 san3
門檻,mun2 kiam1
逆轉,ngiak6 zon3
中小企,zung1 siau3 ki1
兩家,liong1 ga1
中期息,zung1 ki2 sit5
一行,yit5 hang2
着重,cok6 cung4
中藥,zung1 yok6
能量,len2 liong4
三藩市,sam1 fan2 si4
士兵,su4 bin1
中途,zung1 tu2
可觀,ko3 gon1
觀望,gon1 mong4
上衣,song4 yi1
擔憂,dam1 yiu1
奪命,tot6 min4
促使,cuk5 si3
精華,zin1 fa2
改名,goi3 miang2
透明度,tiu4 min2 tu4
樂趣,lok6 ci4
侍應,si4 yin4
臨近,lim2 kiun4
測量,cet5 liong2
假日,ga4 ngit5
行列,hong2 liet6
中秋,zung1 ciu1
調控,tiau2 kung4
輻射,fuk5 sa4
成名,sin2 min2
不勝,but5 sin1
一道,yit5 tau4
經濟學,gin1 zi4 hok6
打劫,da3 giap5
響應,hiong3 yin4
運行,yun4 hang2
悲觀,bui1 gon1
種植,zung4 cit6
食水,sit6 sui3
可否,ko3 fiu3
報讀,bau4 tuk6
北海道,bet5 hoi3 tau4
調校,tiau2 gau3
射門,sa4 mun2
平平,pin2 pin2
男仔,lam2 zai3
高中,gau1 zung1
長洲,cong2 ziu1
畫家,fa4 ga1
擔保,dam1 bau3
強迫,kiong2 bet5
喪禮,song1 li1
討好,tau3 hau3
跑道,pau1 tau4
重演,cung2 yen1
名氣,min2 hi4
釀成,ngiong4 sin2
嘉年華,ga1 ngien2 fa2
講解,gong3 gai3
碩士,sak6 su4
歡樂,fon1 lok6
被殺,pi4 sat5
兄長,hiung1 zong3
火車站,fo3 ca1 zam4
奧運會,au4 yun4 fui4
為準,vui2 zun3
擅長,sien4 cong2
降落,gong4 lok6
神話,sin2 va4
反正,fan3 zin4
連番,lien2 fan1
乘機,sin2 gi1
觀念,gon1 ngiam4
察覺,cat5 gok5
點名,diam3 miang2
分區,fun1 ki1
近乎,kiun4 fu2
品質,pin3 zit5
狗仔隊,giu3 zai3 dui4
所為,so3 vui2
上環,song4 van2
客觀,hak5 gon1
分數,fun4 su4
分數,fun1 su4
平靜,pin2 cin4
車門,ca1 mun2
沉重,cim2 cung4
校董,gau4 dung3
撞車,cong4 ca1
地道,ti4 tau4
百分百,bak5 fun4 bak5
經濟師,gin1 zi4 su1
消防處,siau1 fong2 cu4
中指,zung1 zi3
平等,pin2 den3
日間,ngit5 gan1
賣相,mai4 siong4
上揚,song4 yong2
近排,kiun4 pai2
院校,yen4 gau4
正義,zin4 ngi4
要好,yau4 hau3
自覺,cu4 gok5
華府,fa2 fu3
好朋友,hau3 pen2 yiu1
經費,gin1 fui4
平息,pin2 sit5
販毒,fan4 tuk6
主將,zu3 ziong4
分成,fun1 sin2
率領,sut5 liang1
名店,min2 diam4
打招呼,da3 zau1 fu1
調節,tiau2 ziet5
不成,but5 sin2
唱好,cong4 hau3
活塞,fat6 set5
正視,zin4 si4
幾好,gi3 hau3
鋪路,pu1 lu4
解讀,gai3 tuk6
分類,fun1 lui4
轉身,zon4 sin1
質問,zit5 mun4
蛋白質,tan4 pak6 zit5
遊樂場,yiu2 lok6 cong2
處境,cu3 gin3
現行,hien4 hang2
人質,ngin2 zi4
背囊,boi4 long2
鮮花,sien1 fa1
偷食,tiu1 sit6
播映,bo4 yang3
盛事,sang4 su4
聆聽,lang2 tin4
興起,hin1 hi3
繪畫,kui4 fa4
接應,ziap5 yin4
好奇,hau4 ki2
生仔,sang1 zai3
中外,zung1 ngoi4
洗手間,se3 siu3 gan1
化解,fa4 gai3
部分,pu4 fun4
促成,cuk5 sin2
雙重,sung1 cung2
假若,ga3 yok6
解除,gai3 cu2
投資銀行,tiu2 zu1 ngiun2 hong2
首要,siu3 yau4
未幾,vui4 gi3
打理,da3 li1
艱難,gan1 lan2
未曾,vui4 cen2
人參,ngin2 sem1
每當,mui1 dong1
名宿,min2 siuk5
同屬,tung2 suk6
中式,zung1 sit5
表面上,biau3 mien4 song4
審核,sim3 het6
一下子,yit5 ha4 zu3
命令,min4 lin4
貿易戰,miu3 yit6 zien4
從政,cung2 zin4
卡塔爾,ka1 tap5 li3
靈魂,lin2 fun2
充當,cung1 dong1
參演,cam1 yen1
共和國,kiung4 fo2 get5
心靈,sim1 lin2
理論上,li1 lun4 song4
時分,si2 fun4
覆核,fuk5 het6
當今,dong1 gim1
食得,sit6 det5
康樂,kong1 lok6
重災區,cung1 zai1 ki1
上帝,song4 di4
公道,gung1 tau4
塞爾維亞,soi4 li3 vui2 a1
相應,siong1 yin4
正宗,zin4 zung1
晚會,man1 fui4
傳召,con2 cau4
同為,tung2 vui2
質感,zit5 gam3
守將,siu3 ziong4
轉手,zon4 siu3
行家,hong2 ga1
手提電話,siu3 ti2 tien4 va4
行走,hang2 ziu3
煮食,zu3 sit6
過量,go4 liong4
大使館,tai4 si4 gon3
友好,yiu1 hau3
當成,dong4 sin2
新興,sin1 hin1
會同,fui4 tung2
到處,dau4 cu4
道具,tau4 ki3
會談,fui4 tam2
暴露,pau4 lu4
散步,san4 pu4
平倉,pin2 cong1
失當,sit5 dong4
着數,cok6 su4
禁令,gim4 lin4
爭勝,zang1 sin4
人間,ngin2 gan1
