char,pron
自行,zi6 häng4
病毒,beng6 duk6
人生,yäng4 säng1
分享,fäng1 höng2
遇上,yü6 söng1
制度,zäi1 du6
態度,tai1 du6
味道,mi6 däu6
娛樂,yü4 lok6
上述,söng6 säk6
下降,ha6 gong1
參選,cam1 süng2
行業,hong4 yip6
唔使,m4 säi2
車路士,ce1 lu6 si6
片段,ping1 düng6
好友,häu2 yäu1
女士,nü1 si6
傳出,cüng4 cäk2
唔少,m4 siu2
校長,hau6 zöng2
記者會,gi1 ze2 wui6
經歷,gäng1 läk6
再度,zöi1 du6
成交價,säng4 gau1 ga1
打算,da2 süng1
困難,kwäng1 næng4
波經,bo1 gäng1
造型,zäu6 yäng4
能否,näng4 fäu2
屬於,suk6 yü1
尊重,züng1 zung6
單車,dæng1 ce1
數目,su1 muk6
重建,cung4 ging1
暴力,bäu6 läk6
最少,zöi1 siu2
生產,säng1 cæng2
食品,säk6 bäng2
旅行,lü1 häng4
產生,cæng2 säng1
一下,yäk2 ha1
飲食,yäm2 säk6
領先,läng1 sing1
私家車,si1 ga1 ce1
領袖,läng1 zäu6
經典,gäng1 ding2
女生,nü1 säng1
執行,zäp2 häng4
之下,zi1 ha6
抗爭,kong1 zäng1
行政總裁,häng4 zäng1 zung2 cai4
道歉,däu6 hip2
為何,wäi6 ho4
平日,päng4 yäk6
參考,cam1 hau2
發行,fæk2 häng4
假期,ga1 ki4
點解,dim2 gai2
和平,wo4 päng4
樂觀,lok6 gwung1
相片,söng1 ping2
生命,säng1 mäng6
從事,cung4 si6
以下,yi1 ha6
集會,zap6 wui6
被控,bi6 hung1
瑞士,söi6 si6
餘下,yü4 ha6
為甚麼,wäi6 säm6 mo1
力量,läk6 löng6
好好,häu2 häu2
生日,sæng1 yäk6
即刻,zik2 häk2
少年,siu1 ning4
被迫,bi6 bäk2
難怪,næng4 gwai1
爭議,zäng1 yi1
參觀,cam1 gwung1
有否,yäu1 fäu2
推行,töi1 häng4
平時,päng4 si4
房間,fong4 gæng1
速度,cuk2 du6
説話,sük2 wa6
玩具,wung6 gü6
荷李活,ho4 li1 wuk6
分店,fäng1 dim1
會面,wui6 ming6
背景,bui1 gäng2
率先,säk2 sing1
議會,yi1 wui6
讀書,duk6 sü1
影片,yäng2 ping2
分手,fäng1 säu2
強勁,köng4 gäng6
打開,da2 fui1
各種,gok2 zung2
行政,häng4 zäng1
貿易,mäu6 yäk6
食肆,säk6 si1
兩岸,löng1 wung6
上訴,söng6 su1
間隔,gæng1 gæk2
短片,düng2 ping2
貨車,fo1 ce1
身為,säng1 wäi4
經理人,gäng1 li1 yäng4
沙士,sa1 si2
傳聞,cüng4 mäng4
漫畫,mæng6 wa6
青蛙,cäng1 wa1
角度,gok2 du6
停車場,täng4 ce1 cöng4
背後,bui1 häu6
分組,fäng1 zu2
財經,cöi4 gäng1
齊齊,cäi4 cäi4
手上,säu2 söng6
處於,cü1 yü1
主客和,zü2 hæk2 wo4
美食,mi1 säk6
工會,gung1 wui6
射手,se6 säu2
多少,do1 siu2
錯誤,co1 ng6
留下,läu4 ha6
成日,seng4 yäk6
從未,cung4 mi6
組成,zu2 säng4
良好,löng4 häu2
難度,næng4 du6
青少年,cäng1 siu1 ning4
重返,cung4 fæng2
百分點,bæk2 fäng6 dim2
自從,zi6 cung4
改為,gwui2 wäi4
散户,sæng2 wu6
地上,di6 söng6
上網,söng1 mong1
隊長,döi6 zöng2
開會,fui1 wui6
信用卡,säng1 yung6 kæk2
為例,wäi4 läi6
形成,yäng4 säng4
重點,zung6 dim2
畫面,wa6 ming6
重大,zung6 dai6
幅度,fuk2 du6
家屬,ga1 suk6
成份,säng4 fäng6
迪士尼,däk6 si6 ni4
打扮,da2 bæng6
華人,wa4 yäng4
幸好,häng6 häu2
惡化,ok2 fa1
重申,cung4 säng1
盡量,zäng6 löng6
並沒有,bäng6 muk6 yäu1
平衡,päng4 häng4
重組,cung4 zu2
較為,gau1 wäi4
帶領,dai1 läng1
民間,mäng4 gæng1
低調,däi1 diu6
聯會,lüng4 wui6
電單車,ding6 dæng1 ce1
兩地,löng1 di6
假如,ga2 yü4
打破,da2 po1
列車,lik6 ce1
車廂,ce1 söng1
降低,gong1 däi1
會上,wui6 söng6
達成,dæk6 säng4
打壓,da2 æk2
上映,söng1 yäng2
刻意,häk2 yi1
馬上,ma1 söng6
之上,zi1 söng6
多數,do1 su1
上演,söng1 ying2
落成,lok6 säng4
實行,säk6 häng4
數量,su1 löng6
經紀,gäng1 gi2
銷量,siu1 löng6
名為,mäng4 wäi4
護士,wu6 si6
國會,gwok2 wui6
同行,tung4 häng4
同行,tung4 hong4
好像,häu2 zöng6
司長,si1 zöng2
上車,söng1 ce1
男士,nam4 si6
上台,söng1 töi4
長遠,cöng4 yüng1
倒退,däu1 töi1
一片,yäk2 ping1
爭執,zäng1 zäp2
小説,siu2 sük2
就好,zäu6 häu2
車禍,ce1 wo6
領導,läng1 däu6
跑車,pau2 ce1
動畫,dung6 wa6
少許,siu2 hü2
梗係,gäng2 häi6
強勢,köng4 säi1
上街,söng1 gai1
通道,tung1 däu6
戴上,dai1 söng1
會員,wui6 yüng4
基本上,gi1 bung2 söng6
證監會,zäng1 gam1 wui6
差不多,ca1 bäk2 do1
對上,döi1 söng6
上限,söng6 hæng6
行使,häng4 säi2
上場,söng1 cöng4
上載,söng6 zöi1
上午,söng6 ng1
唱片,cöng1 ping2
樂園,lok6 yüng4
下載,ha6 zöi1
毒品,duk6 bäng2
核心,häk6 säm1
易手,yäk6 säu2
難得,næng4 däk2
進食,zäng1 säk6
高度,gäu1 du6
馬會,ma1 wui6
總會,zung2 wui1
全數,cüng4 su1
上班,söng1 bæng1
不錯,bäk2 co1
行程,häng4 cäng4
強烈,köng4 lik6
視為,si6 wäi4
衞生,wäi6 säng1
戰爭,zing1 zäng1
傍晚,pong4 mæng1
好多人,häu2 do1 yäng4
下調,ha6 tiu4
重視,zung6 si6
渣打,za1 da2
穿着,cüng1 zök2
會長,wui6 zöng2
打氣,da2 hi1
更新,gäng1 säng1
近況,gäng6 fong1
九成,gäu2 säng4
成熟,säng4 suk6
轉會,züng1 wui6
快樂,fai1 lok6
參賽,cam1 cöi1
少少,siu2 siu2
旅行社,lü1 häng4 se1
啤酒,be1 zäu2
成長,säng4 zöng2
男生,nam4 säng1
食環署,säk6 wæng4 cü1
體重,täi2 cung1
出生,cäk2 säng1
飛行,fi1 häng4
入行,yäp6 hong4
份量,fäng6 löng6
發覺,fæk2 gok2
幾年,gi2 ning4
中間,zung1 gæng1
差距,ca1 kü1
利好,li6 häu2
分別為,fäng1 bik6 wäi4
生涯,säng1 ngai4
從而,cung4 yi4
強積金,köng1 zäk2 gäm1
仲要,zung6 yiu1
奧斯卡,äu1 si1 ka1
衞生署,wäi6 säng1 cü1
數碼,su1 ma1
時刻,si4 häk2
上任,söng1 yäm6
芝士,zi1 si2
中華,zung1 wa4
説明,sük2 mäng4
樂隊,ngok6 döi6
長大,zöng2 dai6
延長,ying4 cöng4
罪行,zöi6 häng6
一番,yäk2 fæng1
強姦,köng4 gæng1
的説,däk2 sük2
公仔,gung1 zäi2
行車,häng4 ce1
董事長,dung2 si6 zöng2
區議會,kü1 yi1 wui6
公平,gung1 päng4
注射,zü1 se6
上前,söng1 cing4
判斷,pung1 düng6
理解,li1 gai2
上次,söng6 ci1
食飯,säk6 fæng6
冇乜,mäu1 mäk2
民調,mäng4 tiu4
領軍,läng1 gwäng1
成就,säng4 zäu6
車仔,ce1 zäi2
樂壇,ngok6 tæng4
分子,fäng6 zi2
一生,yäk2 säng1
車手,ce1 säu2
豪華,häu4 wa4
車位,ce1 wäi6
下台,ha6 töi4
學會,hok6 wui6
學會,hok6 wui1
便宜,ping4 yi4
金屬,gäm1 suk6
少數,siu2 su1
在下,zöi6 ha6
為人,wäi4 yäng4
校園,hau6 yüng4
佔領,zim1 läng1
好彩,häu2 cöi2
車主,ce1 zü2
泡沫,päu1 muk6
更換,gäng1 wung6
流行,läu4 häng4
華盛頓,wa4 säng6 däng6
難免,næng4 ming1
上年,söng6 ning4
女仔,nü1 zäi2
成人,säng4 yäng4
一國兩制,yäk2 gwok2 löng1 zäi1
分拆,fäng1 cæk2
首映,säu2 yäng2
暑假,sü2 ga1
下令,ha6 läng6
博士,bok2 si6
鄰近,läng4 gäng6
只好,zi2 häu2
會考,wui6 hau2
説法,sük2 fæk2
生前,säng1 cing4
大學生,dai6 hok6 sæng1
重慶,cung4 häng1
誤會,ng6 wui6
房車,fong4 ce1
救護車,gäu1 wu6 ce1
好轉,häu2 züng2
行李,häng4 li1
大使,dai6 säi2
大使,dai6 si1
知識,zi1 säk2
重心,zung6 säm1
長達,cöng4 dæk6
轉變,züng2 bing1
就讀,zäu6 duk6
增強,zäng1 köng4
車身,ce1 säng1
重傷,cung1 söng1
一刻,yäk2 häk2
解放軍,gai2 fong1 gwäng1
百分之,bæk2 fäng6 zi1
天下,ting1 ha6
上落,söng1 lok6
隧道,söi6 däu6
否決,fäu2 kük2
從前,cung4 cing4
青春,cäng1 cäng1
控吿,hung1 gäu1
會所,wui6 so2
上址,söng6 zi2
風暴,fung1 bäu6
游説,yäu4 söi1
幾多,gi2 do1
施政報吿,si1 zäng1 bäu1 gäu1
咁樣,gäm1 yöng6
粉嶺,fäng2 leng1
乘坐,säng4 co1
下去,ha6 hü1
優質,yäu1 zäk2
轉投,züng2 täu4
通吿,tung1 gäu1
辦事處,bæng6 si6 cü1
下來,ha6 löi4
得分,däk2 fäng1
高調,gäu1 diu6
車頭,ce1 täu4
上水,söng6 söi2
平方米,päng4 fong1 mai1
火車,fo2 ce1
長線,cöng4 sing1
北上,bäk2 söng1
流傳,läu4 cüng4
共和黨,gung6 wo4 dong2
為止,wäi4 zi2
為期,wäi4 ki4
從此,cung4 ci2
以便,yi1 bing6
食材,säk6 cöi4
葵涌,kwäi4 cung1
道德,däu6 däk2
頻道,päng4 däu6
被困,bi6 kwäng1
傳播,cüng4 bo1
稱為,cäng1 wäi4
輕易,häng1 yi6
罪成,zöi6 säng4
藉此,zäk6 ci2
山頂,sæng1 deng2
評分,päng4 fäng1
更改,gäng1 gwui2
度假,du6 ga1
分開,fäng1 fui1
道理,däu6 li1
過度,gwo1 du6
難道,næng4 däu6
藉口,zäk6 häu2
娛樂圈,yü4 lok6 hüng1
實質,säk6 zäk2
實際上,säk6 zäi1 söng6
頂級,däng2 käp2
比重,bi2 cung1
盛傳,säng6 cüng4
圖片,tu4 ping2
打電話,da2 ding6 wa6
轉型,züng2 yäng4
閲讀,yük6 duk6
適量,säk2 löng6
教會,gäu1 wui6
含量,häm4 löng6
背心,bui1 säm1
屏幕,päng4 mok6
上面,söng6 ming6
度過,du6 gwo1
協調,hip2 tiu4
次數,ci1 su1
放下,fong1 ha6
步行,bu6 häng4
行山,hæng4 sæng1
青衣,cäng1 yi1
種種,zung2 zung2
吃飯,hek2 fæng6
創下,cong1 ha6
重複,cung4 fuk2
好過,häu2 gwo1
極度,gik6 du6
諗住,näm2 zü6
強制,köng1 zäi1
打工仔,da2 gung1 zäi2
分配,fäng1 pui1
音樂會,yäm1 ngok6 wui6
橫行,wæng4 häng4
陪伴,pui4 bung6
平手,päng4 säu2
所屬,so2 suk6
上身,söng1 säng1
爭奪,zäng1 dük6
相處,söng1 cü1
總數,zung2 su1
假設,ga2 cik2
公會,gung1 wui6
淪為,läng4 wäi4
傳奇,züng6 ki4
聚會,zü6 wui6
靚仔,leng1 zäi2
好多時,häu2 do1 si4
接種,zip2 zung1
約會,yök2 wui6
約會,yök2 wui6
賽車,cöi1 ce1
進度,zäng1 du6
東涌,dung1 cung1
吿別,gäu1 bik6
幾時,gi2 si4
生態,säng1 tai1
庭上,täng4 söng6
贊成,zæng1 säng4
毆打,äu2 da2
諷刺,fung1 ci1
立刻,läp6 häk2
上司,söng6 si1
造價,zäu6 ga1
食用,säk6 yung6
轉介,züng2 gai1
市道,si1 däu6
工聯會,gung1 lüng4 wui6
轉移,züng2 yi4
下次,ha6 ci1
温度,wäng1 du6
建造,ging1 zäu6
間接,gæng1 zip2
產量,cæng2 löng6
原吿,yüng4 gäu1
領取,läng1 cü2
考生,hau2 säng1
董事會,dung2 si6 wui6
話説,wa6 sük2
交易日,gau1 yäk6 yäk6
道路,däu6 lu6
孖展,ma1 zing2
營造,yäng4 zäu6
主打,zü2 da2
列為,lik6 wäi4
商會,söng1 wui6
附屬,fu6 suk6
士氣,si6 hi1
坊間,fong1 gæng1
創造,cong1 zäu6
神經,säng4 gäng1
上下,söng6 ha6
上調,söng6 tiu4
據説,gü1 sük2
珍惜,zäng1 säk2
落車,lok6 ce1
重量,cung1 löng6
縱使,zung1 si2
乘搭,säng4 dap2
世上,säi1 söng6
勇士,yung2 si6
相差,söng1 ca1
生物,säng1 mäk6
災難,zöi1 næng6
打機,da2 gi1
好處,häu2 cü1
温和,wäng1 wo4
生效,säng1 hau6
預吿,yü6 gäu1
開車,fui1 ce1
行政長官,häng4 zäng1 zöng2 gwung1
最為,zöi1 wäi4
太平洋,tai1 päng4 yöng4
重拾,cung4 säp6
民生,mäng4 säng1
學生會,hok6 sæng1 wui6
成效,säng4 hau6
街上,gai1 söng6
樓上,läu4 söng6
扭轉,näu2 züng2
旅行團,lü1 häng4 tüng4
正好,zäng1 häu2
發射,fæk2 se6
少於,siu2 yü1
車長,ce1 zöng2
無數,mu4 su1
牛仔褲,ngäu4 zäi2 fu1
不惜,bäk2 säk2
必要,bik2 yiu1
打出,da2 cäk2
吸毒,käp2 duk6
從中,cung4 zung1
食客,säk6 hæk2
稍為,sau2 wäi4
唔錯,m4 co1
打工,da2 gung1
交易所,gau1 yäk6 so2
吿訴,gäu1 su1
彈性,dæng6 säng1
為此,wäi6 ci2
錯過,co1 gwo1
畢業生,bäk2 yip6 säng1
勞工處,läu4 gung1 cü1
夥伴,fo2 bung6
會場,wui6 cöng4
極為,gik6 wäi4
節省,zik2 sæng2
間中,gæng1 zung1
部長,bu6 zöng2
平民,päng4 mäng4
生肖,säng1 ciu1
處長,cü1 zöng2
四強,si1 köng4
警車,gäng2 ce1
接着,zip2 zök6
生存,säng1 cüng4
疏散,so1 sæng1
放假,fong1 ga1
平穩,päng4 wäng2
平安,päng4 wung1
頗為,po2 wäi4
消毒,siu1 duk6
重現,cung4 ying6
為你,wäi6 ni1
上位,söng1 wäi6
市長,si1 zöng2
途經,tu4 gäng1
從不,cung4 bäk2
與否,yü1 fäu2
難民,næng6 mäng4
長江,cöng4 gong1
不便,bäk2 bing6
便利店,bing6 li6 dim1
位數,wäi6 su1
史上,si2 söng6
行駛,häng4 säi2
爭拗,zäng1 au1
車牌,ce1 pai4
車隊,ce1 döi6
善長,sing6 zöng2
剛好,gong1 häu2
壟斷,lung1 düng6
客貨車,hæk2 fo1 ce1
限量,hæng6 löng6
誕生,dæng1 säng1
成事,seng4 si6
渠道,kü4 däu6
轉向,züng2 höng1
重温,cung4 wäng1
古仔,gwu2 zäi2
和解,wo4 gai2
車站,ce1 zam6
未經,mi6 gäng1
成都,säng4 du1
至上,zi1 söng6
近來,gäng6 löi4
會見,wui6 ging1
解僱,gai2 gwu1
理會,li1 wui6
唱片公司,cöng1 ping2 gung1 si1
虛假,hü1 ga2
番茄,fæng1 kö4
先行,sing1 häng4
差異,ca1 yi6
東莞,dung1 gwung2
拍片,pæk2 ping2
強行,köng1 häng4
行會,hong4 wui6
上學,söng1 hok6
出道,cäk2 däu6
公吿,gung1 gäu1
衣着,yi1 zök2
會計,wui6 gäi1
造勢,zäu6 säi1
分為,fäng1 wäi4
天使,ting1 si1
行人,häng4 yäng4
爵士,zök2 si6
華裔,wa4 yöi6
出錯,cäk2 co1
閣下,gok2 ha6
行人路,häng4 yäng4 lu6
身處,säng1 cü1
強國,köng4 gwok2
私下,si1 ha6
伴侶,bung6 lü1
平反,päng4 fæng2
暴動,bäu6 dung6
名校,mäng4 hau6
升降機,säng1 gong1 gi1
傳染病,cüng4 yim1 beng6
恐怖分子,hung2 bu1 fäng6 zi2
睡覺,söi6 gau1
天生,ting1 sæng1
季度,gwäi1 du6
台下,töi4 ha6
種類,zung2 löi6
司法覆核,si1 fæk2 fuk2 häk6
大阪,dai6 bæng2
要是,yiu1 si6
會計師,wui6 gäi1 si1
物質,mäk6 zäk2
接載,zip2 zöi1
倒數,däu1 su2
中學生,zung1 hok6 sæng1
履行,lü1 häng4
院長,yüng6 zöng2
平價,peng4 ga1
後便,häu6 bing6
種籽,zung2 zi2
重創,cung1 cong1
失分,säk2 fäng1
八強,bæk2 köng4
校友,hau6 yäu1
力爭,läk6 zäng1
華為,wa4 wäi4
黑社會,häk2 se1 wui6
跟着,gäng1 zök6
署長,cü1 zöng2
戰士,zing1 si6
迫使,bäk2 si2
時間表,si4 gæng1 biu2
大多數,dai6 do1 su1
量度,löng4 dok6
強硬,köng4 ngæng6
生長,säng1 zöng2
入讀,yäp6 duk6
警長,gäng2 zöng2
電車,ding6 ce1
小食,siu2 säk6
略為,lök6 wäi4
馬體會,ma1 täi2 wui6
分歧,fäng1 ki4
長子,zöng2 zi2
經已,gäng1 yi1
逃生,täu4 säng1
上漲,söng6 zöng1
點滴,dim2 däk6
跌倒,dik2 däu2
中毒,zung1 duk6
暴雨,bäu6 yü1
成果,säng4 gwo2
降温,gong1 wäng1
調味,tiu4 mi6
傳送,cüng4 sung1
樓下,läu4 ha6
難忘,næng4 mong4
注重,zü1 zung6
品種,bäng2 zung2
第一時間,däi6 yäk2 si4 gæng1
難過,næng4 gwo1
造假,zäu6 ga2
容量,yung4 löng6
熊貓,hung4 mau1
人為,yäng4 wäi4
貴金屬,gwäi1 gäm1 suk6
紀錄片,gi2 luk6 ping2
和局,wo4 guk6
四處,si1 cü1
逼近,bäk2 gäng6
烹調,pæng1 tiu4
街道,gai1 däu6
領事館,läng1 si6 gwung2
降班,gong1 bæng1
和諧,wo4 hai4
華麗,wa4 läi6
車尾,ce1 mi1
行政會議,häng4 zäng1 wui6 yi1
分裂,fäng1 lik6
通車,tung1 ce1
香港仔,höng1 gong2 zäi2
抹黑,muk2 häk2
服食,fuk6 säk6
貼近,tip2 gäng6
卡通,ka1 tung1
倒閉,däu2 bäi1
勉強,ming1 köng1
診斷,cäng2 düng6
車廠,ce1 cong2
路上,lu6 söng6
演説,ying2 sük2
不和,bäk2 wo4
強大,köng4 dai6
差價,ca1 ga1
爭相,zäng1 söng1
為本,wäi4 bung2
分析師,fäng1 säk2 si1
轉戰,züng1 zing1
從來,cung4 löi4
強化,köng4 fa1
下挫,ha6 co1
打得,da2 däk2
倒塌,däu2 tap2
分散,fäng1 sæng2
造就,zäu6 zäu6
門檻,mung4 lam6
逆轉,yäk6 züng2
兩家,löng1 ga1
一行,yäk2 häng4
着重,zök6 zung6
能量,näng4 löng6
士兵,si6 bäng1
領域,läng1 wäk2
上衣,söng6 yi1
申領,säng1 läng1
車程,ce1 cäng4
促使,cuk2 si2
貼上,tip2 söng1
精華,zäng1 wa4
仔細,zi2 säi1
透明度,täu1 mäng4 du6
清醒,cäng1 säng2
樂趣,lok6 cü1
臨近,läm4 gäng6
測量,cäk2 löng4
假日,ga1 yäk6
調動,diu6 dung6
行列,hong4 lik6
調控,tiu4 hung1
輻射,fuk2 se6
成名,säng4 mäng4
梅開二度,mui4 fui1 yi6 du6
一道,yäk2 däu6
經濟學,gäng1 zäi1 hok6
打劫,da2 gip2
轄下,häk6 ha6
陌生,mäk6 säng1
運行,wäng6 häng4
上課,söng1 fo1
犯錯,fæng6 co1
種植,zung1 zäk6
食水,säk6 söi2
搭上,dap2 söng1
可否,ho2 fäu2
報讀,bäu1 duk6
北海道,bäk2 fui2 däu6
調校,tiu4 gau1
射門,se6 mung4
平平,päng4 päng4
男仔,nam4 zäi2
長洲,cöng4 zäu1
畫家,wa6 ga1
師生,si1 säng1
肥胖,fi4 bung6
強迫,köng4 bäk2
喪禮,song1 läi1
討好,täu2 häu2
跑道,pau2 däu6
重演,cung4 ying2
釀成,yöng6 säng4
小學生,siu2 hok6 sæng1
嘉年華,ga1 ning4 wa4
講解,gong2 gai2
碩士,sek6 si6
歡樂,fung1 lok6
性質,säng1 zäk2
被殺,bi6 sæk2
兄長,häng1 zöng2
火車站,fo2 ce1 zam6
奧運會,äu1 wäng6 wui6
為準,wäi4 zäng2
擅長,sing6 cöng4
降落,gong1 lok6
連番,ling4 fæng1
乘機,säng4 gi1
察覺,cæk2 gok2
分區,fäng1 kü1
近乎,gäng6 fu4
後生,häu6 sæng1
品質,bäng2 zäk2
狗仔隊,gäu2 zäi2 döi6
所為,so2 wäi4
上環,söng6 wæng4
分數,fäng6 su1
分數,fäng1 su1
平靜,päng4 zäng6
車門,ce1 mung4
沉重,cäm4 zung6
上試,söng6 si1
校董,hau6 dung2
撞車,zong6 ce1
地道,di6 däu6
百分百,bæk2 fäng6 bæk2
經濟師,gäng1 zäi1 si1
消防處,siu1 fong4 cü1
下屬,ha6 suk6
平等,päng4 däng2
日間,yäk6 gæng1
偽造,ngäi6 zäu6
上揚,söng6 yöng4
近排,gäng6 pai4
院校,yüng6 hau6
要好,yiu1 häu2
零食,läng4 säk6
自覺,zi6 gok2
華府,wa4 fu2
好朋友,häu2 päng4 yäu1
經費,gäng1 fäi1
平息,päng4 säk2
販毒,fæng1 duk6
級數,käp2 su1
分成,fäng1 säng4
率領,säk2 läng1
下體,ha6 täi2
打招呼,da2 ziu1 fu1
調節,tiu4 zik2
不成,bäk2 säng4
唱好,cöng1 häu2
活塞,wuk6 säk2
幾好,gi2 häu2
解讀,gai2 duk6
變數,bing1 su1
分類,fäng1 löi6
轉身,züng1 säng1
質問,zäk2 mäng6
蛋白質,dæng6 bæk6 zäk2
製造商,zäi1 zäu6 söng1
遊樂場,yäu4 lok6 cöng4
處境,cü1 gäng2
現行,ying6 häng4
人質,yäng4 zi1
背囊,bui1 nong4
偷食,täu1 säk6
碎片,söi1 ping2
播映,bo1 yäng2
盛事,säng6 si6
繪畫,kwui2 wa6
好奇,häu1 ki4
生仔,sæng1 zäi2
晶片,zäng1 ping2
洗手間,säi2 säu2 gæng1
化解,fa1 gai2
部分,bu6 fäng6
促成,cuk2 säng4
雙重,söng1 cung4
假若,ga2 yök6
解除,gai2 cü4
投資銀行,täu4 zi1 ngäng4 hong4
首要,säu2 yiu1
未幾,mi6 gi2
打理,da2 li1
艱難,gæng1 næng4
未曾,mi6 cäng4
人參,yäng4 säm1
鬥爭,däu1 zäng1
同屬,tung4 suk6
表面上,biu2 ming6 söng6
審核,säm2 häk6
一下子,yäk2 ha1 zi2
貿易戰,mäu6 yäk6 zing1
從政,cung4 zäng1
卡塔爾,ka1 tap2 yi1
參演,cam1 ying2
共和國,gung6 wo4 gwok2
理論上,li1 läng6 söng6
半數,bung1 su1
時分,si4 fäng6
買下,mai1 ha6
覆核,fuk2 häk6
食得,säk6 däk2
康樂,hong1 lok6
重災區,cung1 zöi1 kü1
上帝,söng6 däi1
公道,gung1 däu6
塞爾維亞,cöi1 yi1 wäi4 a1
晚會,mæng1 wui6
傳召,cüng4 ziu6
同為,tung4 wäi4
質感,zäk2 gäm2
轉手,züng1 säu2
行家,hong4 ga1
行走,häng4 zäu2
煮食,zü2 säk6
過量,gwo1 löng6
大使館,dai6 si1 gwung2
友好,yäu1 häu2
當成,dong1 säng4
會同,wui6 tung4
到處,däu1 cü1
道具,däu6 gü6
會談,wui6 tam4
暴露,bäu6 lu6
散步,sæng1 bu6
生果,sæng1 gwo2
平倉,päng4 cong1
着數,zök6 su1
